时间,是否始发站,是否终到站
05:11,0,0
05:21,0,0
05:31,0,0
05:41,0,0
05:51,0,0
06:01,0,0
06:09,0,0
06:16,0,0
06:22,0,0
06:27,0,0
06:32,0,0
06:37,0,0
06:42,0,0
06:47,0,0
06:52,0,0
06:57,0,0
07:02,0,0
07:06,0,0
07:11,0,0
07:15,0,0
07:19,0,0
07:23,0,0
07:27,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:51,0,0
07:55,0,0
07:58,0,0
08:02,0,0
08:05,0,0
08:09,0,0
08:12,0,0
08:16,0,0
08:19,0,0
08:23,0,0
08:26,0,0
08:30,0,0
08:33,0,0
08:37,0,0
08:41,0,0
08:45,0,0
08:49,0,0
08:53,0,0
08:57,0,0
09:01,0,0
09:05,0,0
09:09,0,0
09:13,0,0
09:18,0,0
09:23,0,0
09:29,0,0
09:34,0,0
09:39,0,0
09:44,0,0
09:50,0,0
09:55,0,0
10:00,0,0
10:05,0,0
10:11,0,0
10:16,0,0
10:21,0,0
10:26,0,0
10:32,0,0
10:37,0,0
10:42,0,0
10:47,0,0
10:53,0,0
10:58,0,0
11:03,0,0
11:08,0,0
11:14,0,0
11:19,0,0
11:24,0,0
11:29,0,0
11:35,0,0
11:40,0,0
11:45,0,0
11:50,0,0
11:56,0,0
12:01,0,0
12:06,0,0
12:11,0,0
12:17,0,0
12:22,0,0
12:27,0,0
12:32,0,0
12:38,0,0
12:43,0,0
12:48,0,0
12:53,0,0
12:59,0,0
13:04,0,0
13:09,0,0
13:14,0,0
13:20,0,0
13:25,0,0
13:30,0,0
13:35,0,0
13:41,0,0
13:46,0,0
13:51,0,0
13:56,0,0
14:02,0,0
14:07,0,0
14:12,0,0
14:17,0,0
14:23,0,0
14:28,0,0
14:33,0,0
14:38,0,0
14:44,0,0
14:49,0,0
14:54,0,0
14:59,0,0
15:05,0,0
15:10,0,0
15:15,0,0
15:20,0,0
15:26,0,0
15:31,0,0
15:36,0,0
15:41,0,0
15:47,0,0
15:52,0,0
15:57,0,0
16:02,0,0
16:08,0,0
16:13,0,0
16:18,0,0
16:23,0,0
16:29,0,0
16:34,0,0
16:39,0,0
16:44,0,0
16:50,0,0
16:55,0,0
17:00,0,0
17:05,0,0
17:11,0,0
17:16,0,0
17:21,0,0
17:25,0,0
17:30,0,0
17:34,0,0
17:38,0,0
17:42,0,0
17:46,0,0
17:50,0,0
17:54,0,0
17:58,0,0
18:02,0,0
18:06,0,0
18:10,0,0
18:14,0,0
18:18,0,0
18:22,0,0
18:26,0,0
18:30,0,0
18:34,0,0
18:38,0,0
18:42,0,0
18:46,0,0
18:50,0,0
18:54,0,0
18:58,0,0
19:02,0,0
19:06,0,0
19:10,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:26,0,0
19:31,0,0
19:36,0,0
19:41,0,0
19:46,0,0
19:52,0,0
19:59,0,0
20:06,0,0
20:13,0,0
20:20,0,0
20:27,0,0
20:35,0,0
20:43,0,0
20:51,0,0
20:59,0,0
21:07,0,0
21:15,0,0
21:23,0,0
21:31,0,0
21:39,0,0
21:49,0,0
21:59,0,0
22:09,0,0
22:19,0,0
22:29,0,0
22:39,0,0
22:49,0,0
22:59,0,0
