时间,是否始发站,是否终到站
05:22,0,0
05:32,0,0
05:42,0,0
05:52,0,0
06:02,0,0
06:12,0,0
06:20,0,0
06:27,0,0
06:33,0,0
06:38,0,0
06:43,0,0
06:48,0,0
06:53,0,0
06:58,0,0
07:03,0,0
07:08,0,0
07:13,0,0
07:17,0,0
07:22,0,0
07:26,0,0
07:30,0,0
07:34,0,0
07:38,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:09,0,0
08:13,0,0
08:16,0,0
08:20,0,0
08:23,0,0
08:27,0,0
08:30,0,0
08:34,0,0
08:37,0,0
08:41,0,0
08:44,0,0
08:48,0,0
08:52,0,0
08:56,0,0
09:00,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:24,0,0
09:29,0,0
09:34,0,0
09:40,0,0
09:45,0,0
09:50,0,0
09:55,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:16,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:37,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:58,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:19,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:40,0,0
11:46,0,0
11:51,0,0
11:56,0,0
12:01,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:22,0,0
12:28,0,0
12:33,0,0
12:38,0,0
12:43,0,0
12:49,0,0
12:54,0,0
12:59,0,0
13:04,0,0
13:10,0,0
13:15,0,0
13:20,0,0
13:25,0,0
13:31,0,0
13:36,0,0
13:41,0,0
13:46,0,0
13:52,0,0
13:57,0,0
14:02,0,0
14:07,0,0
14:13,0,0
14:18,0,0
14:23,0,0
14:28,0,0
14:34,0,0
14:39,0,0
14:44,0,0
14:49,0,0
14:55,0,0
15:00,0,0
15:05,0,0
15:10,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:31,0,0
15:37,0,0
15:42,0,0
15:47,0,0
15:52,0,0
15:58,0,0
16:03,0,0
16:08,0,0
16:13,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:34,0,0
16:40,0,0
16:45,0,0
16:50,0,0
16:55,0,0
17:01,0,0
17:06,0,0
17:11,0,0
17:16,0,0
17:22,0,0
17:27,0,0
17:32,0,0
17:36,0,0
17:41,0,0
17:45,0,0
17:49,0,0
17:53,0,0
17:57,0,0
18:01,0,0
18:05,0,0
18:09,0,0
18:13,0,0
18:17,0,0
18:21,0,0
18:25,0,0
18:29,0,0
18:33,0,0
18:37,0,0
18:41,0,0
18:45,0,0
18:49,0,0
18:53,0,0
18:57,0,0
19:01,0,0
19:05,0,0
19:09,0,0
19:13,0,0
19:17,0,0
19:21,0,0
19:25,0,0
19:29,0,0
19:33,0,0
19:37,0,0
19:42,0,0
19:47,0,0
19:52,0,0
19:57,0,0
20:03,0,0
20:10,0,0
20:17,0,0
20:24,0,0
20:31,0,0
20:38,0,0
20:46,0,0
20:54,0,0
21:02,0,0
21:10,0,0
21:18,0,0
21:26,0,0
21:34,0,0
21:42,0,0
21:50,0,0
22:00,0,0
22:10,0,0
22:20,0,0
22:30,0,0
22:40,0,0
22:50,0,0
23:00,0,0
23:10,0,0
