时间,是否始发站,是否终到站
05:24,0,0
05:34,0,0
05:44,0,0
05:54,0,0
06:04,0,0
06:14,0,0
06:22,0,0
06:29,0,0
06:35,0,0
06:40,0,0
06:45,0,0
06:50,0,0
06:55,0,0
07:00,0,0
07:05,0,0
07:10,0,0
07:15,0,0
07:19,0,0
07:24,0,0
07:28,0,0
07:32,0,0
07:36,0,0
07:40,0,0
07:44,0,0
07:48,0,0
07:52,0,0
07:56,0,0
08:00,0,0
08:04,0,0
08:08,0,0
08:11,0,0
08:15,0,0
08:18,0,0
08:22,0,0
08:25,0,0
08:29,0,0
08:32,0,0
08:36,0,0
08:39,0,0
08:43,0,0
08:46,0,0
08:50,0,0
08:54,0,0
08:58,0,0
09:02,0,0
09:06,0,0
09:10,0,0
09:14,0,0
09:18,0,0
09:22,0,0
09:26,0,0
09:31,0,0
09:36,0,0
09:42,0,0
09:47,0,0
09:52,0,0
09:57,0,0
10:03,0,0
10:08,0,0
10:13,0,0
10:18,0,0
10:24,0,0
10:29,0,0
10:34,0,0
10:39,0,0
10:45,0,0
10:50,0,0
10:55,0,0
11:00,0,0
11:06,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:27,0,0
11:32,0,0
11:37,0,0
11:42,0,0
11:48,0,0
11:53,0,0
11:58,0,0
12:03,0,0
12:09,0,0
12:14,0,0
12:19,0,0
12:24,0,0
12:30,0,0
12:35,0,0
12:40,0,0
12:45,0,0
12:51,0,0
12:56,0,0
13:01,0,0
13:06,0,0
13:12,0,0
13:17,0,0
13:22,0,0
13:27,0,0
13:33,0,0
13:38,0,0
13:43,0,0
13:48,0,0
13:54,0,0
13:59,0,0
14:04,0,0
14:09,0,0
14:15,0,0
14:20,0,0
14:25,0,0
14:30,0,0
14:36,0,0
14:41,0,0
14:46,0,0
14:51,0,0
14:57,0,0
15:02,0,0
15:07,0,0
15:12,0,0
15:18,0,0
15:23,0,0
15:28,0,0
15:33,0,0
15:39,0,0
15:44,0,0
15:49,0,0
15:54,0,0
16:00,0,0
16:05,0,0
16:10,0,0
16:15,0,0
16:21,0,0
16:26,0,0
16:31,0,0
16:36,0,0
16:42,0,0
16:47,0,0
16:52,0,0
16:57,0,0
17:03,0,0
17:08,0,0
17:13,0,0
17:18,0,0
17:24,0,0
17:29,0,0
17:34,0,0
17:38,0,0
17:43,0,0
17:47,0,0
17:51,0,0
17:55,0,0
17:59,0,0
18:03,0,0
18:07,0,0
18:11,0,0
18:15,0,0
18:19,0,0
18:23,0,0
18:27,0,0
18:31,0,0
18:35,0,0
18:39,0,0
18:43,0,0
18:47,0,0
18:51,0,0
18:55,0,0
18:59,0,0
19:03,0,0
19:07,0,0
19:11,0,0
19:15,0,0
19:19,0,0
19:23,0,0
19:27,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:44,0,0
19:49,0,0
19:54,0,0
19:59,0,0
20:05,0,0
20:12,0,0
20:19,0,0
20:26,0,0
20:33,0,0
20:40,0,0
20:48,0,0
20:56,0,0
21:04,0,0
21:12,0,0
21:20,0,0
21:28,0,0
21:36,0,0
21:44,0,0
21:52,0,0
22:02,0,0
22:12,0,0
22:22,0,0
22:32,0,0
22:42,0,0
22:52,0,0
23:02,0,0
23:12,0,0
