时间,是否始发站,是否终到站
05:43,0,0
05:53,0,0
06:03,0,0
06:13,0,0
06:23,0,0
06:33,0,0
06:41,0,0
06:48,0,0
06:54,0,0
06:59,0,0
07:04,0,0
07:09,0,0
07:14,0,0
07:19,0,0
07:24,0,0
07:29,0,0
07:34,0,0
07:38,0,0
07:43,0,0
07:47,0,0
07:51,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:07,0,0
08:11,0,0
08:15,0,0
08:19,0,0
08:23,0,0
08:27,0,0
08:30,0,0
08:34,0,0
08:37,0,0
08:41,0,0
08:44,0,0
08:48,0,0
08:51,0,0
08:55,0,0
08:58,0,0
09:02,0,0
09:05,0,0
09:09,0,0
09:13,0,0
09:17,0,0
09:21,0,0
09:25,0,0
09:29,0,0
09:33,0,0
09:37,0,0
09:41,0,0
09:45,0,0
09:50,0,0
09:55,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:16,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:37,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:58,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:19,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:40,0,0
11:46,0,0
11:51,0,0
11:56,0,0
12:01,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:22,0,0
12:28,0,0
12:33,0,0
12:38,0,0
12:43,0,0
12:49,0,0
12:54,0,0
12:59,0,0
13:04,0,0
13:10,0,0
13:15,0,0
13:20,0,0
13:25,0,0
13:31,0,0
13:36,0,0
13:41,0,0
13:46,0,0
13:52,0,0
13:57,0,0
14:02,0,0
14:07,0,0
14:13,0,0
14:18,0,0
14:23,0,0
14:28,0,0
14:34,0,0
14:39,0,0
14:44,0,0
14:49,0,0
14:55,0,0
15:00,0,0
15:05,0,0
15:10,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:31,0,0
15:37,0,0
15:42,0,0
15:47,0,0
15:52,0,0
15:58,0,0
16:03,0,0
16:08,0,0
16:13,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:34,0,0
16:40,0,0
16:45,0,0
16:50,0,0
16:55,0,0
17:01,0,0
17:06,0,0
17:11,0,0
17:16,0,0
17:22,0,0
17:27,0,0
17:32,0,0
17:37,0,0
17:43,0,0
17:48,0,0
17:53,0,0
17:57,0,0
18:02,0,0
18:06,0,0
18:10,0,0
18:14,0,0
18:18,0,0
18:22,0,0
18:26,0,0
18:30,0,0
18:34,0,0
18:38,0,0
18:42,0,0
18:46,0,0
18:50,0,0
18:54,0,0
18:58,0,0
19:02,0,0
19:06,0,0
19:10,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:26,0,0
19:30,0,0
19:34,0,0
19:38,0,0
19:42,0,0
19:46,0,0
19:50,0,0
19:54,0,0
19:58,0,0
20:03,0,0
20:08,0,0
20:13,0,0
20:18,0,0
20:24,0,0
20:31,0,0
20:38,0,0
20:45,0,0
20:52,0,0
20:59,0,0
21:07,0,0
21:15,0,0
21:23,0,0
21:31,0,0
21:39,0,0
21:47,0,0
21:55,0,0
22:03,0,0
22:11,0,0
22:21,0,0
22:31,0,0
22:41,0,0
22:51,0,0
23:01,0,0
23:11,0,0
23:21,0,0
23:31,0,0
