时间,是否始发站,是否终到站
05:01,0,0
05:11,0,0
05:21,0,0
05:31,0,0
05:41,0,0
05:51,0,0
05:59,0,0
06:06,0,0
06:12,0,0
06:17,0,0
06:22,0,0
06:27,0,0
06:32,0,0
06:37,0,0
06:42,0,0
06:47,0,0
06:52,0,0
06:56,0,0
07:01,0,0
07:05,0,0
07:09,0,0
07:13,0,0
07:17,0,0
07:21,0,0
07:25,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:41,0,0
07:45,0,0
07:48,0,0
07:52,0,0
07:55,0,0
07:59,0,0
08:02,0,0
08:06,0,0
08:09,0,0
08:13,0,0
08:16,0,0
08:20,0,0
08:23,0,0
08:27,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:47,0,0
08:51,0,0
08:55,0,0
08:59,0,0
09:03,0,0
09:08,0,0
09:14,0,0
09:19,0,0
09:24,0,0
09:29,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:50,0,0
09:56,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:17,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:41,0,0
11:46,0,0
11:51,0,0
11:56,0,0
12:02,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:23,0,0
12:28,0,0
12:33,0,0
12:38,0,0
12:44,0,0
12:49,0,0
12:54,0,0
12:59,0,0
13:05,0,0
13:10,0,0
13:15,0,0
13:20,0,0
13:26,0,0
13:31,0,0
13:36,0,0
13:41,0,0
13:47,0,0
13:52,0,0
13:57,0,0
14:02,0,0
14:08,0,0
14:13,0,0
14:18,0,0
14:23,0,0
14:29,0,0
14:34,0,0
14:39,0,0
14:44,0,0
14:50,0,0
14:55,0,0
15:00,0,0
15:05,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:32,0,0
15:37,0,0
15:42,0,0
15:47,0,0
15:53,0,0
15:58,0,0
16:03,0,0
16:08,0,0
16:14,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:35,0,0
16:40,0,0
16:45,0,0
16:50,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:11,0,0
17:15,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:04,0,0
18:08,0,0
18:12,0,0
18:16,0,0
18:20,0,0
18:24,0,0
18:28,0,0
18:32,0,0
18:36,0,0
18:40,0,0
18:44,0,0
18:48,0,0
18:52,0,0
18:56,0,0
19:00,0,0
19:04,0,0
19:08,0,0
19:12,0,0
19:16,0,0
19:21,0,0
19:26,0,0
19:31,0,0
19:37,0,0
19:43,0,0
19:50,0,0
19:57,0,0
20:04,0,0
20:11,0,0
20:18,0,0
20:26,0,0
20:34,0,0
20:42,0,0
20:50,0,0
20:58,0,0
21:06,0,0
21:14,0,0
21:22,0,0
21:30,0,0
21:39,0,0
21:49,0,0
21:59,0,0
22:09,0,0
22:19,0,0
22:29,0,0
22:39,0,0
22:49,0,0
