时间,是否始发站,是否终到站
05:03,0,0
05:13,0,0
05:23,0,0
05:33,0,0
05:43,0,0
05:53,0,0
06:01,0,0
06:08,0,0
06:14,0,0
06:19,0,0
06:24,0,0
06:29,0,0
06:34,0,0
06:39,0,0
06:44,0,0
06:49,0,0
06:54,0,0
06:59,0,0
07:03,0,0
07:07,0,0
07:11,0,0
07:15,0,0
07:19,0,0
07:23,0,0
07:27,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:51,0,0
07:54,0,0
07:58,0,0
08:01,0,0
08:05,0,0
08:08,0,0
08:12,0,0
08:15,0,0
08:19,0,0
08:22,0,0
08:26,0,0
08:30,0,0
08:34,0,0
08:38,0,0
08:42,0,0
08:46,0,0
08:50,0,0
08:54,0,0
08:58,0,0
09:02,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:21,0,0
09:26,0,0
09:32,0,0
09:37,0,0
09:42,0,0
09:47,0,0
09:53,0,0
09:58,0,0
10:03,0,0
10:08,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:29,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:50,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:32,0,0
11:38,0,0
11:43,0,0
11:48,0,0
11:53,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:14,0,0
12:20,0,0
12:25,0,0
12:30,0,0
12:35,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:56,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:17,0,0
13:23,0,0
13:28,0,0
13:33,0,0
13:38,0,0
13:44,0,0
13:49,0,0
13:54,0,0
13:59,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:20,0,0
14:26,0,0
14:31,0,0
14:36,0,0
14:41,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:02,0,0
15:08,0,0
15:13,0,0
15:18,0,0
15:23,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:44,0,0
15:50,0,0
15:55,0,0
16:00,0,0
16:05,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:26,0,0
16:32,0,0
16:37,0,0
16:42,0,0
16:47,0,0
16:53,0,0
16:58,0,0
17:03,0,0
17:08,0,0
17:13,0,0
17:18,0,0
17:22,0,0
17:26,0,0
17:30,0,0
17:34,0,0
17:38,0,0
17:42,0,0
17:46,0,0
17:50,0,0
17:54,0,0
17:58,0,0
18:02,0,0
18:06,0,0
18:10,0,0
18:14,0,0
18:18,0,0
18:22,0,0
18:26,0,0
18:30,0,0
18:34,0,0
18:38,0,0
18:42,0,0
18:46,0,0
18:50,0,0
18:54,0,0
18:58,0,0
19:02,0,0
19:06,0,0
19:10,0,0
19:14,0,0
19:18,0,0
19:23,0,0
19:28,0,0
19:33,0,0
19:39,0,0
19:45,0,0
19:52,0,0
19:59,0,0
20:06,0,0
20:13,0,0
20:20,0,0
20:28,0,0
20:36,0,0
20:44,0,0
20:52,0,0
21:00,0,0
21:08,0,0
21:16,0,0
21:24,0,0
21:32,0,0
21:41,0,0
21:51,0,0
22:01,0,0
22:11,0,0
22:21,0,0
22:31,0,0
22:41,0,0
22:51,0,0
