时间,是否始发站,是否终到站
05:38,0,0
05:48,0,0
05:58,0,0
06:08,0,0
06:18,0,0
06:28,0,0
06:36,0,0
06:43,0,0
06:49,0,0
06:54,0,0
06:59,0,0
07:04,0,0
07:09,0,0
07:14,0,0
07:19,0,0
07:24,0,0
07:29,0,0
07:33,0,0
07:38,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:10,0,0
08:14,0,0
08:18,0,0
08:22,0,0
08:25,0,0
08:29,0,0
08:32,0,0
08:36,0,0
08:39,0,0
08:43,0,0
08:46,0,0
08:50,0,0
08:53,0,0
08:57,0,0
09:00,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:24,0,0
09:28,0,0
09:32,0,0
09:36,0,0
09:40,0,0
09:45,0,0
09:51,0,0
09:56,0,0
10:01,0,0
10:06,0,0
10:12,0,0
10:17,0,0
10:22,0,0
10:27,0,0
10:33,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:36,0,0
11:41,0,0
11:46,0,0
11:51,0,0
11:57,0,0
12:02,0,0
12:07,0,0
12:12,0,0
12:18,0,0
12:23,0,0
12:28,0,0
12:33,0,0
12:39,0,0
12:44,0,0
12:49,0,0
12:54,0,0
13:00,0,0
13:05,0,0
13:10,0,0
13:15,0,0
13:21,0,0
13:26,0,0
13:31,0,0
13:36,0,0
13:42,0,0
13:47,0,0
13:52,0,0
13:57,0,0
14:03,0,0
14:08,0,0
14:13,0,0
14:18,0,0
14:24,0,0
14:29,0,0
14:34,0,0
14:39,0,0
14:45,0,0
14:50,0,0
14:55,0,0
15:00,0,0
15:06,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:27,0,0
15:32,0,0
15:37,0,0
15:42,0,0
15:48,0,0
15:53,0,0
15:58,0,0
16:03,0,0
16:09,0,0
16:14,0,0
16:19,0,0
16:24,0,0
16:30,0,0
16:35,0,0
16:40,0,0
16:45,0,0
16:51,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:12,0,0
17:17,0,0
17:22,0,0
17:27,0,0
17:33,0,0
17:38,0,0
17:43,0,0
17:48,0,0
17:52,0,0
17:57,0,0
18:01,0,0
18:05,0,0
18:09,0,0
18:13,0,0
18:17,0,0
18:21,0,0
18:25,0,0
18:29,0,0
18:33,0,0
18:37,0,0
18:41,0,0
18:45,0,0
18:49,0,0
18:53,0,0
18:57,0,0
19:01,0,0
19:05,0,0
19:09,0,0
19:13,0,0
19:17,0,0
19:21,0,0
19:25,0,0
19:29,0,0
19:33,0,0
19:37,0,0
19:41,0,0
19:45,0,0
19:49,0,0
19:53,0,0
19:58,0,0
20:03,0,0
20:08,0,0
20:14,0,0
20:20,0,0
20:27,0,0
20:34,0,0
20:41,0,0
20:48,0,0
20:55,0,0
21:03,0,0
21:11,0,0
21:19,0,0
21:27,0,0
21:35,0,0
21:43,0,0
21:51,0,0
21:59,0,0
22:07,0,0
22:16,0,0
22:26,0,0
22:36,0,0
22:46,0,0
22:56,0,0
23:06,0,0
23:16,0,0
23:26,0,0
