时间,是否始发站,是否终到站
05:17,0,0
05:27,0,0
05:37,0,0
05:47,0,0
05:57,0,0
06:07,0,0
06:15,0,0
06:22,0,0
06:28,0,0
06:33,0,0
06:38,0,0
06:43,0,0
06:48,0,0
06:53,0,0
06:58,0,0
07:03,0,0
07:06,0,0
07:13,0,0
07:17,0,0
07:21,0,0
07:25,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:41,0,0
07:45,0,0
07:49,0,0
07:53,0,0
07:57,0,0
08:01,0,0
08:05,0,0
08:08,0,0
08:12,0,0
08:15,0,0
08:19,0,0
08:22,0,0
08:26,0,0
08:29,0,0
08:33,0,0
08:36,0,0
08:40,0,0
08:44,0,0
08:48,0,0
08:52,0,0
08:56,0,0
09:00,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:46,0,0
09:51,0,0
09:56,0,0
10:01,0,0
10:07,0,0
10:12,0,0
10:17,0,0
10:22,0,0
10:28,0,0
10:33,0,0
10:38,0,0
10:43,0,0
10:49,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:31,0,0
11:36,0,0
11:41,0,0
11:46,0,0
11:52,0,0
11:57,0,0
12:02,0,0
12:07,0,0
12:13,0,0
12:18,0,0
12:23,0,0
12:28,0,0
12:34,0,0
12:39,0,0
12:44,0,0
12:49,0,0
12:55,0,0
13:00,0,0
13:05,0,0
13:10,0,0
13:16,0,0
13:21,0,0
13:26,0,0
13:31,0,0
13:37,0,0
13:42,0,0
13:47,0,0
13:52,0,0
13:58,0,0
14:03,0,0
14:08,0,0
14:13,0,0
14:19,0,0
14:24,0,0
14:29,0,0
14:34,0,0
14:40,0,0
14:45,0,0
14:50,0,0
14:55,0,0
15:01,0,0
15:06,0,0
15:11,0,0
15:16,0,0
15:22,0,0
15:27,0,0
15:32,0,0
15:37,0,0
15:43,0,0
15:48,0,0
15:53,0,0
15:58,0,0
16:04,0,0
16:09,0,0
16:14,0,0
16:19,0,0
16:25,0,0
16:30,0,0
16:35,0,0
16:40,0,0
16:46,0,0
16:51,0,0
16:56,0,0
17:01,0,0
17:07,0,0
17:12,0,0
17:17,0,0
17:22,0,0
17:27,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:04,0,0
18:06,0,0
18:12,0,0
18:16,0,0
18:20,0,0
18:24,0,0
18:28,0,0
18:32,0,0
18:36,0,0
18:40,0,0
18:44,0,0
18:48,0,0
18:52,0,0
18:56,0,0
19:00,0,0
19:04,0,0
19:08,0,0
19:12,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:37,0,0
19:42,0,0
19:47,0,0
19:53,0,0
19:59,0,0
20:06,0,0
20:13,0,0
20:20,0,0
20:27,0,0
20:34,0,0
20:42,0,0
20:50,0,0
20:58,0,0
21:06,0,0
21:14,0,0
21:22,0,0
21:30,0,0
21:38,0,0
21:46,0,0
21:55,0,0
22:05,0,0
22:15,0,0
22:25,0,0
22:35,0,0
22:45,0,0
22:55,0,0
23:05,0,0
