时间,是否始发站,是否终到站
05:34,0,0
05:44,0,0
05:54,0,0
06:04,0,0
06:14,0,0
06:24,0,0
06:32,0,0
06:39,0,0
06:45,0,0
06:50,0,0
06:55,0,0
07:00,0,0
07:05,0,0
07:10,0,0
07:15,0,0
07:20,0,0
07:25,0,0
07:29,0,0
07:34,0,0
07:38,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:10,0,0
08:14,0,0
08:18,0,0
08:21,0,0
08:25,0,0
08:28,0,0
08:32,0,0
08:35,0,0
08:39,0,0
08:42,0,0
08:46,0,0
08:49,0,0
08:53,0,0
08:56,0,0
09:00,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:24,0,0
09:28,0,0
09:32,0,0
09:36,0,0
09:41,0,0
09:47,0,0
09:52,0,0
09:57,0,0
10:02,0,0
10:08,0,0
10:13,0,0
10:18,0,0
10:23,0,0
10:29,0,0
10:34,0,0
10:39,0,0
10:44,0,0
10:50,0,0
10:55,0,0
11:00,0,0
11:05,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:32,0,0
11:37,0,0
11:42,0,0
11:47,0,0
11:53,0,0
11:58,0,0
12:03,0,0
12:08,0,0
12:14,0,0
12:19,0,0
12:24,0,0
12:29,0,0
12:35,0,0
12:40,0,0
12:45,0,0
12:50,0,0
12:56,0,0
13:01,0,0
13:06,0,0
13:11,0,0
13:17,0,0
13:22,0,0
13:27,0,0
13:32,0,0
13:38,0,0
13:43,0,0
13:48,0,0
13:53,0,0
13:59,0,0
14:04,0,0
14:09,0,0
14:14,0,0
14:20,0,0
14:25,0,0
14:30,0,0
14:35,0,0
14:41,0,0
14:46,0,0
14:51,0,0
14:56,0,0
15:02,0,0
15:07,0,0
15:12,0,0
15:17,0,0
15:23,0,0
15:28,0,0
15:33,0,0
15:38,0,0
15:44,0,0
15:49,0,0
15:54,0,0
15:59,0,0
16:05,0,0
16:10,0,0
16:15,0,0
16:20,0,0
16:26,0,0
16:31,0,0
16:36,0,0
16:41,0,0
16:47,0,0
16:52,0,0
16:57,0,0
17:02,0,0
17:08,0,0
17:13,0,0
17:18,0,0
17:23,0,0
17:29,0,0
17:34,0,0
17:39,0,0
17:44,0,0
17:48,0,0
17:53,0,0
17:57,0,0
18:01,0,0
18:05,0,0
18:09,0,0
18:13,0,0
18:17,0,0
18:21,0,0
18:25,0,0
18:29,0,0
18:33,0,0
18:37,0,0
18:41,0,0
18:45,0,0
18:49,0,0
18:53,0,0
18:57,0,0
19:01,0,0
19:05,0,0
19:09,0,0
19:13,0,0
19:17,0,0
19:21,0,0
19:25,0,0
19:29,0,0
19:33,0,0
19:37,0,0
19:41,0,0
19:45,0,0
19:49,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:10,0,0
20:16,0,0
20:23,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:51,0,0
20:59,0,0
21:07,0,0
21:15,0,0
21:23,0,0
21:31,0,0
21:39,0,0
21:47,0,0
21:55,0,0
22:03,0,0
22:12,0,0
22:22,0,0
22:32,0,0
22:42,0,0
22:52,0,0
23:02,0,0
23:12,0,0
23:22,0,0
