时间,是否始发站,是否终到站
05:40,0,0
05:50,0,0
06:00,0,0
06:10,0,0
06:20,0,0
06:30,0,0
06:38,0,0
06:45,0,0
06:51,0,0
06:56,0,0
07:01,0,0
07:06,0,0
07:11,0,0
07:16,0,0
07:21,0,0
07:26,0,0
07:31,0,0
07:36,0,0
07:40,0,0
07:44,0,0
07:48,0,0
07:52,0,0
07:56,0,0
08:00,0,0
08:04,0,0
08:08,0,0
08:12,0,0
08:16,0,0
08:20,0,0
08:24,0,0
08:28,0,0
08:31,0,0
08:35,0,0
08:38,0,0
08:42,0,0
08:45,0,0
08:49,0,0
08:52,0,0
08:56,0,0
08:59,0,0
09:03,0,0
09:07,0,0
09:11,0,0
09:15,0,0
09:19,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:35,0,0
09:39,0,0
09:43,0,0
09:48,0,0
09:53,0,0
09:58,0,0
10:03,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:33,0,0
11:38,0,0
11:43,0,0
11:48,0,0
11:54,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:15,0,0
12:20,0,0
12:25,0,0
12:30,0,0
12:36,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:57,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:18,0,0
13:23,0,0
13:28,0,0
13:33,0,0
13:39,0,0
13:44,0,0
13:49,0,0
13:54,0,0
14:00,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:21,0,0
14:26,0,0
14:31,0,0
14:36,0,0
14:42,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:03,0,0
15:08,0,0
15:13,0,0
15:18,0,0
15:24,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:45,0,0
15:50,0,0
15:55,0,0
16:00,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:32,0,0
16:37,0,0
16:42,0,0
16:48,0,0
16:53,0,0
16:58,0,0
17:03,0,0
17:09,0,0
17:14,0,0
17:19,0,0
17:24,0,0
17:30,0,0
17:35,0,0
17:40,0,0
17:45,0,0
17:50,0,0
17:55,0,0
17:59,0,0
18:03,0,0
18:07,0,0
18:11,0,0
18:15,0,0
18:19,0,0
18:23,0,0
18:27,0,0
18:31,0,0
18:35,0,0
18:39,0,0
18:43,0,0
18:47,0,0
18:51,0,0
18:55,0,0
18:59,0,0
19:03,0,0
19:07,0,0
19:11,0,0
19:15,0,0
19:19,0,0
19:23,0,0
19:27,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:55,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:16,0,0
20:22,0,0
20:29,0,0
20:36,0,0
20:43,0,0
20:50,0,0
20:57,0,0
21:05,0,0
21:13,0,0
21:21,0,0
21:29,0,0
21:37,0,0
21:45,0,0
21:53,0,0
22:01,0,0
22:09,0,0
22:18,0,0
22:28,0,0
22:38,0,0
22:48,0,0
22:58,0,0
23:08,0,0
23:18,0,0
23:28,0,0
