时间,是否始发站,是否终到站
05:45,0,0
05:55,0,0
06:05,0,0
06:15,0,0
06:25,0,0
06:35,0,0
06:43,0,0
06:50,0,0
06:56,0,0
07:01,0,0
07:06,0,0
07:11,0,0
07:16,0,0
07:21,0,0
07:26,0,0
07:31,0,0
07:36,0,0
07:41,0,0
07:45,0,0
07:49,0,0
07:53,0,0
07:57,0,0
08:01,0,0
08:05,0,0
08:09,0,0
08:13,0,0
08:17,0,0
08:21,0,0
08:25,0,0
08:29,0,0
08:33,0,0
08:36,0,0
08:40,0,0
08:43,0,0
08:47,0,0
08:50,0,0
08:54,0,0
08:57,0,0
09:01,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:24,0,0
09:28,0,0
09:32,0,0
09:36,0,0
09:40,0,0
09:44,0,0
09:48,0,0
09:53,0,0
09:58,0,0
10:03,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:33,0,0
11:38,0,0
11:43,0,0
11:48,0,0
11:54,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:15,0,0
12:20,0,0
12:25,0,0
12:30,0,0
12:36,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:57,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:18,0,0
13:23,0,0
13:28,0,0
13:33,0,0
13:39,0,0
13:44,0,0
13:49,0,0
13:54,0,0
14:00,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:21,0,0
14:26,0,0
14:31,0,0
14:36,0,0
14:42,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:03,0,0
15:08,0,0
15:13,0,0
15:18,0,0
15:24,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:45,0,0
15:50,0,0
15:55,0,0
16:00,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:32,0,0
16:37,0,0
16:42,0,0
16:48,0,0
16:53,0,0
16:58,0,0
17:03,0,0
17:09,0,0
17:14,0,0
17:19,0,0
17:24,0,0
17:30,0,0
17:35,0,0
17:40,0,0
17:45,0,0
17:50,0,0
17:55,0,0
18:00,0,0
18:04,0,0
18:08,0,0
18:12,0,0
18:16,0,0
18:20,0,0
18:24,0,0
18:28,0,0
18:32,0,0
18:36,0,0
18:40,0,0
18:44,0,0
18:48,0,0
18:52,0,0
18:56,0,0
19:00,0,0
19:04,0,0
19:08,0,0
19:12,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:52,0,0
19:56,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:15,0,0
20:21,0,0
20:27,0,0
20:34,0,0
20:41,0,0
20:48,0,0
20:55,0,0
21:02,0,0
21:10,0,0
21:18,0,0
21:26,0,0
21:34,0,0
21:42,0,0
21:50,0,0
21:58,0,0
22:06,0,0
22:14,0,0
22:23,0,0
22:33,0,0
22:43,0,0
22:53,0,0
23:03,0,0
23:13,0,0
23:23,0,0
23:33,0,0
