时间,是否始发站,是否终到站
05:26,0,0
05:36,0,0
05:46,0,0
05:56,0,0
06:06,0,0
06:16,0,0
06:24,0,0
06:31,0,0
06:37,0,0
06:42,0,0
06:47,0,0
06:52,0,0
06:57,0,0
07:02,0,0
07:07,0,0
07:12,0,0
07:17,0,0
07:21,0,0
07:26,0,0
07:30,0,0
07:34,0,0
07:38,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:10,0,0
08:13,0,0
08:17,0,0
08:20,0,0
08:24,0,0
08:27,0,0
08:31,0,0
08:34,0,0
08:38,0,0
08:41,0,0
08:45,0,0
08:48,0,0
08:52,0,0
08:56,0,0
09:00,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:24,0,0
09:28,0,0
09:33,0,0
09:39,0,0
09:44,0,0
09:49,0,0
09:54,0,0
10:00,0,0
10:05,0,0
10:10,0,0
10:15,0,0
10:21,0,0
10:26,0,0
10:31,0,0
10:36,0,0
10:42,0,0
10:47,0,0
10:52,0,0
10:57,0,0
11:03,0,0
11:08,0,0
11:13,0,0
11:18,0,0
11:24,0,0
11:29,0,0
11:34,0,0
11:39,0,0
11:45,0,0
11:50,0,0
11:55,0,0
12:00,0,0
12:06,0,0
12:11,0,0
12:16,0,0
12:21,0,0
12:27,0,0
12:32,0,0
12:37,0,0
12:42,0,0
12:48,0,0
12:53,0,0
12:58,0,0
13:03,0,0
13:09,0,0
13:14,0,0
13:19,0,0
13:24,0,0
13:30,0,0
13:35,0,0
13:40,0,0
13:45,0,0
13:51,0,0
13:56,0,0
14:01,0,0
14:06,0,0
14:12,0,0
14:17,0,0
14:22,0,0
14:27,0,0
14:33,0,0
14:38,0,0
14:43,0,0
14:48,0,0
14:54,0,0
14:59,0,0
15:04,0,0
15:09,0,0
15:15,0,0
15:20,0,0
15:25,0,0
15:30,0,0
15:36,0,0
15:41,0,0
15:46,0,0
15:51,0,0
15:57,0,0
16:02,0,0
16:07,0,0
16:12,0,0
16:18,0,0
16:23,0,0
16:28,0,0
16:33,0,0
16:39,0,0
16:44,0,0
16:49,0,0
16:54,0,0
17:00,0,0
17:05,0,0
17:10,0,0
17:15,0,0
17:21,0,0
17:26,0,0
17:31,0,0
17:36,0,0
17:40,0,0
17:45,0,0
17:49,0,0
17:53,0,0
17:57,0,0
18:01,0,0
18:05,0,0
18:09,0,0
18:13,0,0
18:17,0,0
18:21,0,0
18:25,0,0
18:29,0,0
18:33,0,0
18:37,0,0
18:41,0,0
18:45,0,0
18:49,0,0
18:53,0,0
18:57,0,0
19:01,0,0
19:05,0,0
19:09,0,0
19:13,0,0
19:17,0,0
19:21,0,0
19:25,0,0
19:29,0,0
19:33,0,0
19:37,0,0
19:41,0,0
19:46,0,0
19:51,0,0
19:56,0,0
20:02,0,0
20:08,0,0
20:15,0,0
20:22,0,0
20:29,0,0
20:36,0,0
20:43,0,0
20:51,0,0
20:59,0,0
21:07,0,0
21:15,0,0
21:23,0,0
21:31,0,0
21:39,0,0
21:47,0,0
21:55,0,0
22:04,0,0
22:14,0,0
22:24,0,0
22:34,0,0
22:44,0,0
22:54,0,0
23:04,0,0
23:14,0,0
