时间,是否始发站,是否终到站
05:35,0,0
05:45,0,0
05:56,0,0
06:06,0,0
06:15,0,0
06:25,0,0
06:30,0,0
06:35,0,0
06:45,0,0
06:50,0,0
06:55,0,0
07:05,0,0
07:10,0,0
07:15,0,0
07:20,0,0
07:25,0,0
07:35,0,0
07:45,0,0
07:55,0,0
08:05,0,0
08:12,0,0
08:19,0,0
08:26,0,0
08:33,0,0
08:40,0,0
08:47,0,0
08:54,0,0
09:01,0,0
09:08,0,0
09:15,0,0
09:22,0,0
09:29,0,0
09:36,0,0
09:43,0,0
09:50,0,0
09:57,0,0
10:04,0,0
10:11,0,0
10:18,0,0
10:25,0,0
10:32,0,0
10:39,0,0
10:46,0,0
10:53,0,0
11:00,0,0
11:07,0,0
11:14,0,0
11:21,0,0
11:28,0,0
11:35,0,0
11:42,0,0
11:49,0,0
11:56,0,0
12:03,0,0
12:10,0,0
12:17,0,0
12:24,0,0
12:31,0,0
12:38,0,0
12:45,0,0
12:52,0,0
12:59,0,0
13:06,0,0
13:13,0,0
13:20,0,0
13:27,0,0
13:34,0,0
13:41,0,0
13:48,0,0
13:55,0,0
14:02,0,0
14:09,0,0
14:16,0,0
14:23,0,0
14:30,0,0
14:37,0,0
14:44,0,0
14:51,0,0
14:58,0,0
15:05,0,0
15:12,0,0
15:19,0,0
15:26,0,0
15:33,0,0
15:40,0,0
15:47,0,0
15:54,0,0
16:01,0,0
16:08,0,0
16:15,0,0
16:22,0,0
16:29,0,0
16:36,0,0
16:43,0,0
16:50,0,0
16:57,0,0
17:03,0,0
17:09,0,0
17:14,0,0
17:20,0,0
17:25,0,0
17:33,0,0
17:42,0,0
17:47,0,0
17:56,0,0
18:04,0,0
18:09,0,0
18:15,0,0
18:23,0,0
18:31,0,0
18:37,0,0
18:42,0,0
18:50,0,0
18:59,0,0
19:04,0,0
19:10,0,0
19:15,0,0
19:21,0,0
19:26,0,0
19:32,0,0
19:37,0,0
19:43,0,0
19:49,0,0
19:54,0,0
20:00,0,0
20:06,0,0
20:12,0,0
20:18,0,0
20:24,0,0
20:30,0,0
20:36,0,0
20:42,0,0
20:48,0,0
20:54,0,0
21:01,0,0
21:08,0,0
21:15,0,0
21:22,0,0
21:29,0,0
21:36,0,0
21:43,0,0
21:50,0,0
21:57,0,0
22:04,0,0
22:11,0,0
22:18,0,0
22:25,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
23:24,0,0
23:34,0,0
23:44,0,0
