时间,是否始发站,是否终到站
05:42,0,0
05:52,0,0
06:02,0,0
06:12,0,0
06:22,0,0
06:32,0,0
06:42,0,0
06:52,0,0
07:02,0,0
07:12,0,0
07:22,0,0
07:29,0,0
07:36,0,0
07:43,0,0
07:50,0,0
07:57,0,0
08:04,0,0
08:11,0,0
08:18,0,0
08:25,0,0
08:32,0,0
08:39,0,0
08:46,0,0
08:53,0,0
09:00,0,0
09:07,0,0
09:14,0,0
09:21,0,0
09:28,0,0
09:35,0,0
09:42,0,0
09:49,0,0
09:56,0,0
10:03,0,0
10:10,0,0
10:17,0,0
10:24,0,0
10:31,0,0
10:38,0,0
10:45,0,0
10:52,0,0
10:59,0,0
11:06,0,0
11:13,0,0
11:20,0,0
11:27,0,0
11:34,0,0
11:41,0,0
11:48,0,0
11:55,0,0
12:02,0,0
12:09,0,0
12:16,0,0
12:23,0,0
12:30,0,0
12:37,0,0
12:44,0,0
12:51,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:19,0,0
13:26,0,0
13:33,0,0
13:40,0,0
13:47,0,0
13:54,0,0
14:01,0,0
14:08,0,0
14:15,0,0
14:22,0,0
14:29,0,0
14:36,0,0
14:43,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:11,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:39,0,0
15:46,0,0
15:53,0,0
16:00,0,0
16:07,0,0
16:14,0,0
16:20,0,0
16:26,0,0
16:31,0,0
16:37,0,0
16:42,0,0
16:48,0,0
16:54,0,0
16:59,0,0
17:04,0,0
17:10,0,0
17:15,0,0
17:21,0,0
17:26,0,0
17:32,0,0
17:37,0,0
17:43,0,0
17:48,0,0
17:54,0,0
17:59,0,0
18:05,0,0
18:11,0,0
18:16,0,0
18:21,0,0
18:27,0,0
18:32,0,0
18:38,0,0
18:43,0,0
18:49,0,0
18:54,0,0
19:00,0,0
19:06,0,0
19:11,0,0
19:17,0,0
19:23,0,0
19:29,0,0
19:35,0,0
19:41,0,0
19:47,0,0
19:53,0,0
19:59,0,0
20:05,0,0
20:11,0,0
20:18,0,0
20:25,0,0
20:32,0,0
20:39,0,0
20:46,0,0
20:53,0,0
21:00,0,0
21:07,0,0
21:14,0,0
21:21,0,0
21:28,0,0
21:35,0,0
21:42,0,0
21:49,0,0
21:56,0,0
22:03,0,0
22:11,0,0
22:18,0,0
22:25,0,0
22:32,0,0
22:41,0,0
22:51,0,0
23:01,0,0
23:11,0,0
23:21,0,0
23:31,0,0
23:41,0,0
23:51,0,0
00:01,0,0
00:12,0,0
