时间,是否始发站,是否终到站
05:16,0,0
05:26,0,0
05:36,0,0
05:46,0,0
05:56,0,0
06:06,0,0
06:16,0,0
06:26,0,0
06:36,0,0
06:46,0,0
06:56,0,0
07:03,0,0
07:10,0,0
07:17,0,0
07:24,0,0
07:31,0,0
07:38,0,0
07:45,0,0
07:52,0,0
07:59,0,0
08:06,0,0
08:13,0,0
08:20,0,0
08:27,0,0
08:34,0,0
08:41,0,0
08:48,0,0
08:55,0,0
09:02,0,0
09:09,0,0
09:16,0,0
09:23,0,0
09:30,0,0
09:37,0,0
09:44,0,0
09:51,0,0
09:58,0,0
10:05,0,0
10:12,0,0
10:19,0,0
10:26,0,0
10:33,0,0
10:40,0,0
10:47,0,0
10:54,0,0
11:01,0,0
11:08,0,0
11:15,0,0
11:22,0,0
11:29,0,0
11:36,0,0
11:43,0,0
11:50,0,0
11:57,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:54,0,0
15:59,0,0
16:09,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:36,0,0
16:44,0,0
16:49,0,0
16:55,0,0
17:04,0,0
17:11,0,0
17:17,0,0
17:26,0,0
17:33,0,0
17:38,0,0
17:44,0,0
17:53,0,0
18:00,0,0
18:06,0,0
18:12,0,0
18:21,0,0
18:28,0,0
18:33,0,0
18:39,0,0
18:48,0,0
18:57,0,0
19:03,0,0
19:09,0,0
19:15,0,0
19:24,0,0
19:32,0,0
19:39,0,0
19:45,0,0
19:52,0,0
19:59,0,0
20:06,0,0
20:13,0,0
20:20,0,0
20:27,0,0
20:34,0,0
20:41,0,0
20:48,0,0
20:55,0,0
21:02,0,0
21:09,0,0
21:16,0,0
21:23,0,0
21:30,0,0
21:37,0,0
21:44,0,0
21:51,0,0
21:58,0,0
22:05,0,0
22:14,0,0
22:24,0,0
22:34,0,0
22:44,0,0
22:54,0,0
23:04,0,0
23:14,0,0
23:24,0,0
23:34,0,0
23:45,0,0
