时间,是否始发站,是否终到站
05:24,0,0
05:34,0,0
05:44,0,0
05:54,0,0
06:04,0,0
06:14,0,0
06:24,0,0
06:34,0,0
06:44,0,0
06:54,0,0
07:04,0,0
07:11,0,0
07:18,0,0
07:25,0,0
07:32,0,0
07:39,0,0
07:48,0,0
07:53,0,0
08:00,0,0
08:07,0,0
08:14,0,0
08:21,0,0
08:28,0,0
08:35,0,0
08:42,0,0
08:49,0,0
08:56,0,0
09:03,0,0
09:10,0,0
09:17,0,0
09:24,0,0
09:31,0,0
09:38,0,0
09:45,0,0
09:52,0,0
09:59,0,0
10:06,0,0
10:13,0,0
10:20,0,0
10:27,0,0
10:34,0,0
10:41,0,0
10:48,0,0
10:55,0,0
11:02,0,0
11:09,0,0
11:16,0,0
11:23,0,0
11:30,0,0
11:37,0,0
11:44,0,0
11:51,0,0
11:58,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:39,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:14,0,0
15:21,0,0
15:28,0,0
15:35,0,0
15:42,0,0
15:49,0,0
15:56,0,0
16:02,0,0
16:08,0,0
16:13,0,0
16:19,0,0
16:24,0,0
16:30,0,0
16:36,0,0
16:41,0,0
16:46,0,0
16:52,0,0
16:57,0,0
17:03,0,0
17:08,0,0
17:14,0,0
17:19,0,0
17:25,0,0
17:30,0,0
17:36,0,0
17:41,0,0
17:47,0,0
17:53,0,0
17:58,0,0
18:03,0,0
18:09,0,0
18:14,0,0
18:20,0,0
18:25,0,0
18:31,0,0
18:36,0,0
18:42,0,0
18:48,0,0
18:53,0,0
18:58,0,0
19:05,0,0
19:11,0,0
19:17,0,0
19:23,0,0
19:29,0,0
19:34,0,0
19:41,0,0
19:47,0,0
19:53,0,0
20:00,0,0
20:07,0,0
20:14,0,0
20:21,0,0
20:28,0,0
20:35,0,0
20:42,0,0
20:49,0,0
20:56,0,0
21:03,0,0
21:10,0,0
21:17,0,0
21:24,0,0
21:31,0,0
21:38,0,0
21:45,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:23,0,0
22:33,0,0
22:43,0,0
22:53,0,0
23:03,0,0
23:13,0,0
23:23,0,0
23:33,0,0
23:43,0,0
23:54,0,0
