时间,是否始发站,是否终到站
05:41,0,1
05:52,0,1
06:02,0,1
06:13,0,1
06:22,0,1
06:32,0,1
06:37,0,1
06:42,0,1
06:52,0,1
06:57,0,1
07:02,0,1
07:12,0,1
07:17,0,1
07:22,0,1
07:27,0,1
07:32,0,1
07:42,0,1
07:52,0,1
08:02,0,1
08:12,0,1
08:19,0,1
08:26,0,1
08:33,0,1
08:40,0,1
08:47,0,1
08:54,0,1
09:01,0,1
09:08,0,1
09:15,0,1
09:22,0,1
09:29,0,1
09:36,0,1
09:43,0,1
09:50,0,1
09:57,0,1
10:04,0,1
10:11,0,1
10:18,0,1
10:25,0,1
10:32,0,1
10:39,0,1
10:46,0,1
10:53,0,1
11:00,0,1
11:07,0,1
11:14,0,1
11:21,0,1
11:28,0,1
11:35,0,1
11:42,0,1
11:49,0,1
11:56,0,1
12:03,0,1
12:10,0,1
12:17,0,1
12:24,0,1
12:31,0,1
12:38,0,1
12:45,0,1
12:52,0,1
12:59,0,1
13:06,0,1
13:13,0,1
13:20,0,1
13:27,0,1
13:34,0,1
13:41,0,1
13:48,0,1
13:55,0,1
14:02,0,1
14:09,0,1
14:16,0,1
14:23,0,1
14:30,0,1
14:37,0,1
14:44,0,1
14:51,0,1
14:58,0,1
15:05,0,1
15:12,0,1
15:19,0,1
15:26,0,1
15:33,0,1
15:40,0,1
15:47,0,1
15:54,0,1
16:01,0,1
16:08,0,1
16:15,0,1
16:22,0,1
16:29,0,1
16:36,0,1
16:43,0,1
16:50,0,1
16:57,0,1
17:04,0,1
17:10,0,1
17:15,0,1
17:21,0,1
17:26,0,1
17:32,0,1
17:40,0,1
17:48,0,1
17:54,0,1
18:02,0,1
18:11,0,1
18:16,0,1
18:21,0,1
18:29,0,1
18:38,0,1
18:43,0,1
18:49,0,1
18:57,0,1
19:05,0,1
19:11,0,1
19:16,0,1
19:22,0,1
19:28,0,1
19:33,0,1
19:38,0,1
19:44,0,1
19:49,0,1
19:55,0,1
20:01,0,1
20:07,0,1
20:13,0,1
20:19,0,1
20:25,0,1
20:31,0,1
20:37,0,1
20:42,0,1
20:48,0,1
20:55,0,1
21:01,0,1
21:08,0,1
21:15,0,1
21:22,0,1
21:29,0,1
21:36,0,1
21:43,0,1
21:50,0,1
21:57,0,1
22:04,0,1
22:10,0,1
22:18,0,1
22:25,0,1
22:32,0,1
22:39,0,1
22:46,0,1
22:53,0,1
23:00,0,1
23:07,0,1
23:14,0,1
23:21,0,1
23:30,0,1
23:40,0,1
23:50,0,1
