时间,是否始发站,是否终到站
05:19,0,0
05:29,0,0
05:39,0,0
05:49,0,0
05:59,0,0
06:09,0,0
06:19,0,0
06:29,0,0
06:39,0,0
06:49,0,0
06:59,0,0
07:06,0,0
07:13,0,0
07:20,0,0
07:27,0,0
07:34,0,0
07:41,0,0
07:48,0,0
07:55,0,0
08:02,0,0
08:09,0,0
08:16,0,0
08:23,0,0
08:30,0,0
08:37,0,0
08:44,0,0
08:51,0,0
08:58,0,0
09:05,0,0
09:12,0,0
09:19,0,0
09:26,0,0
09:33,0,0
09:40,0,0
09:47,0,0
09:54,0,0
10:01,0,0
10:08,0,0
10:15,0,0
10:22,0,0
10:29,0,0
10:36,0,0
10:43,0,0
10:50,0,0
10:57,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:25,0,0
11:32,0,0
11:39,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:37,0,0
15:44,0,0
15:51,0,0
15:57,0,0
16:02,0,0
16:12,0,0
16:19,0,0
16:24,0,0
16:30,0,0
16:40,0,0
16:47,0,0
16:52,0,0
16:58,0,0
17:07,0,0
17:14,0,0
17:20,0,0
17:29,0,0
17:36,0,0
17:41,0,0
17:47,0,0
17:57,0,0
18:03,0,0
18:09,0,0
18:15,0,0
18:24,0,0
18:31,0,0
18:36,0,0
18:42,0,0
18:52,0,0
19:00,0,0
19:06,0,0
19:12,0,0
19:18,0,0
19:28,0,0
19:35,0,0
19:42,0,0
19:48,0,0
19:55,0,0
20:02,0,0
20:09,0,0
20:16,0,0
20:23,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:51,0,0
20:58,0,0
21:05,0,0
21:12,0,0
21:19,0,0
21:26,0,0
21:33,0,0
21:40,0,0
21:47,0,0
21:54,0,0
22:01,0,0
22:08,0,0
22:17,0,0
22:27,0,0
22:37,0,0
22:47,0,0
22:57,0,0
23:07,0,0
23:17,0,0
23:27,0,0
23:37,0,0
23:48,0,0
