时间,是否始发站,是否终到站
05:29,0,0
05:39,0,0
05:49,0,0
05:59,0,0
06:09,0,0
06:19,0,0
06:29,0,0
06:39,0,0
06:49,0,0
06:59,0,0
07:09,0,0
07:16,0,0
07:23,0,0
07:30,0,0
07:37,0,0
07:44,0,0
07:51,0,0
07:58,0,0
08:05,0,0
08:12,0,0
08:19,0,0
08:26,0,0
08:33,0,0
08:40,0,0
08:47,0,0
08:54,0,0
09:01,0,0
09:08,0,0
09:15,0,0
09:22,0,0
09:29,0,0
09:36,0,0
09:43,0,0
09:50,0,0
09:57,0,0
10:04,0,0
10:11,0,0
10:18,0,0
10:25,0,0
10:32,0,0
10:39,0,0
10:46,0,0
10:53,0,0
11:00,0,0
11:07,0,0
11:14,0,0
11:21,0,0
11:28,0,0
11:35,0,0
11:42,0,0
11:49,0,0
11:56,0,0
12:03,0,0
12:10,0,0
12:17,0,0
12:24,0,0
12:31,0,0
12:38,0,0
12:45,0,0
12:52,0,0
12:59,0,0
13:06,0,0
13:13,0,0
13:20,0,0
13:27,0,0
13:34,0,0
13:41,0,0
13:48,0,0
13:55,0,0
14:02,0,0
14:09,0,0
14:16,0,0
14:23,0,0
14:30,0,0
14:37,0,0
14:44,0,0
14:51,0,0
14:58,0,0
15:05,0,0
15:12,0,0
15:19,0,0
15:26,0,0
15:33,0,0
15:40,0,0
15:47,0,0
15:54,0,0
16:01,0,0
16:07,0,0
16:13,0,0
16:18,0,0
16:24,0,0
16:29,0,0
16:35,0,0
16:41,0,0
16:46,0,0
16:51,0,0
16:57,0,0
17:02,0,0
17:08,0,0
17:13,0,0
17:19,0,0
17:24,0,0
17:30,0,0
17:35,0,0
17:41,0,0
17:46,0,0
17:52,0,0
17:58,0,0
18:03,0,0
18:08,0,0
18:14,0,0
18:19,0,0
18:25,0,0
18:30,0,0
18:36,0,0
18:41,0,0
18:47,0,0
18:53,0,0
18:58,0,0
19:04,0,0
19:10,0,0
19:16,0,0
19:22,0,0
19:28,0,0
19:34,0,0
19:40,0,0
19:46,0,0
19:52,0,0
19:58,0,0
20:05,0,0
20:12,0,0
20:19,0,0
20:26,0,0
20:33,0,0
20:40,0,0
20:47,0,0
20:54,0,0
21:01,0,0
21:08,0,0
21:15,0,0
21:22,0,0
21:29,0,0
21:36,0,0
21:43,0,0
21:50,0,0
21:57,0,0
22:04,0,0
22:11,0,0
22:18,0,0
22:27,0,0
22:37,0,0
22:47,0,0
22:57,0,0
23:07,0,0
23:17,0,0
23:27,0,0
23:37,0,0
23:47,0,0
23:58,0,0
