时间,是否始发站,是否终到站
05:22,1,0
05:32,1,0
05:43,1,0
05:53,1,0
06:02,1,0
06:12,0,0
06:17,1,0
06:22,0,0
06:32,0,0
06:37,1,0
06:42,0,0
06:52,0,0
06:57,1,0
07:02,0,0
07:07,1,0
07:12,0,0
07:22,0,0
07:32,0,0
07:42,0,0
07:52,0,0
07:59,0,0
08:06,0,0
08:13,0,0
08:20,0,0
08:27,0,0
08:34,0,0
08:41,0,0
08:48,0,0
08:55,0,0
09:02,0,0
09:09,0,0
09:16,0,0
09:23,0,0
09:30,0,0
09:37,0,0
09:44,0,0
09:51,0,0
09:58,0,0
10:05,0,0
10:12,0,0
10:19,0,0
10:26,0,0
10:33,0,0
10:40,0,0
10:47,0,0
10:54,0,0
11:01,0,0
11:08,0,0
11:15,0,0
11:22,0,0
11:29,0,0
11:36,0,0
11:43,0,0
11:50,0,0
11:57,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:55,0,0
16:02,0,0
16:09,0,0
16:16,0,0
16:23,0,0
16:30,0,0
16:37,0,0
16:44,0,0
16:50,0,0
16:56,0,0
17:01,0,0
17:07,0,0
17:12,0,0
17:20,0,0
17:24,0,1
17:29,0,0
17:34,0,0
17:42,0,0
17:46,0,1
17:51,0,0
17:56,0,0
18:02,0,0
18:09,0,0
18:14,0,1
18:18,0,0
18:24,0,0
18:29,0,0
18:37,0,0
18:42,0,1
18:46,0,0
18:51,0,0
18:57,0,0
19:02,0,0
19:08,0,0
19:13,0,0
19:19,0,0
19:24,0,0
19:30,0,0
19:36,0,0
19:41,0,0
19:47,0,0
19:53,0,0
19:59,0,0
20:05,0,0
20:11,0,0
20:17,0,0
20:23,0,0
20:29,0,0
20:35,0,0
20:41,0,0
20:48,0,0
20:55,0,0
21:02,0,0
21:09,0,0
21:16,0,0
21:23,0,0
21:30,0,0
21:37,0,0
21:44,0,0
21:51,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:11,0,0
23:21,0,0
23:31,0,0
23:41,0,1
23:51,0,1
00:01,0,1
00:11,0,1
00:21,0,1
00:31,0,1
00:42,0,1
