时间,是否始发站,是否终到站
05:33,0,0
05:43,0,0
05:53,0,0
06:03,0,0
06:13,0,0
06:23,0,0
06:33,0,0
06:43,0,0
06:53,0,0
07:03,0,0
07:13,0,0
07:20,0,0
07:27,0,0
07:34,0,0
07:41,0,0
07:48,0,0
07:55,0,0
08:02,0,0
08:09,0,0
08:16,0,0
08:23,0,0
08:30,0,0
08:37,0,0
08:44,0,0
08:51,0,0
08:58,0,0
09:05,0,0
09:12,0,0
09:19,0,0
09:26,0,0
09:33,0,0
09:40,0,0
09:47,0,0
09:54,0,0
10:01,0,0
10:08,0,0
10:15,0,0
10:22,0,0
10:29,0,0
10:36,0,0
10:43,0,0
10:50,0,0
10:57,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:25,0,0
11:32,0,0
11:39,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:37,0,0
15:44,0,0
15:51,0,0
15:58,0,0
16:05,0,0
16:11,0,0
16:17,0,0
16:22,0,0
16:28,0,0
16:33,0,0
16:39,0,0
16:45,0,0
16:50,0,0
16:55,0,0
17:01,0,0
17:06,0,0
17:12,0,0
17:17,0,0
17:23,0,0
17:28,0,0
17:34,0,0
17:39,0,0
17:45,0,0
17:50,0,0
17:56,0,0
18:02,0,0
18:07,0,0
18:12,0,0
18:18,0,0
18:23,0,0
18:29,0,0
18:34,0,0
18:40,0,0
18:45,0,0
18:51,0,0
18:57,0,0
19:02,0,0
19:08,0,0
19:14,0,0
19:20,0,0
19:26,0,0
19:32,0,0
19:38,0,0
19:44,0,0
19:50,0,0
19:56,0,0
20:02,0,0
20:09,0,0
20:16,0,0
20:23,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:51,0,0
20:58,0,0
21:05,0,0
21:12,0,0
21:19,0,0
21:26,0,0
21:33,0,0
21:40,0,0
21:47,0,0
21:54,0,0
22:01,0,0
22:08,0,0
22:15,0,0
22:22,0,0
22:31,0,0
22:41,0,0
22:51,0,0
23:01,0,0
23:11,0,0
23:21,0,0
23:31,0,0
23:41,0,0
23:51,0,0
00:02,0,0
