时间,是否始发站,是否终到站
05:06,1,0
05:16,1,0
05:26,1,0
05:36,1,0
05:46,1,0
05:56,1,0
06:06,1,0
06:16,1,0
06:26,1,0
06:36,1,0
06:46,1,0
06:53,1,0
07:00,1,0
07:07,1,0
07:14,1,0
07:21,1,0
07:28,1,0
07:35,1,0
07:42,1,0
07:49,1,0
07:56,1,0
08:03,1,0
08:10,1,0
08:17,1,0
08:24,1,0
08:31,1,0
08:38,1,0
08:45,1,0
08:52,1,0
08:59,1,0
09:06,1,0
09:13,1,0
09:20,1,0
09:27,1,0
09:34,1,0
09:41,1,0
09:48,1,0
09:55,1,0
10:02,1,0
10:09,1,0
10:16,1,0
10:23,1,0
10:30,1,0
10:37,1,0
10:44,1,0
10:51,1,0
10:58,1,0
11:05,1,0
11:12,1,0
11:19,1,0
11:26,1,0
11:33,1,0
11:40,1,0
11:47,1,0
11:54,1,0
12:01,1,0
12:08,1,0
12:15,1,0
12:22,1,0
12:29,1,0
12:36,1,0
12:43,1,0
12:50,1,0
12:57,1,0
13:04,1,0
13:11,1,0
13:18,1,0
13:25,1,0
13:32,1,0
13:39,1,0
13:46,1,0
13:53,1,0
14:00,1,0
14:07,1,0
14:14,1,0
14:21,1,0
14:28,1,0
14:35,1,0
14:42,1,0
14:49,1,0
14:56,1,0
15:03,1,0
15:10,1,0
15:17,1,0
15:24,1,0
15:31,1,0
15:38,1,0
15:44,1,0
15:49,1,0
15:57,1,0
16:06,1,0
16:11,1,0
16:17,1,0
16:25,1,0
16:34,1,0
16:39,1,0
16:45,1,0
16:52,1,0
17:01,1,0
17:07,1,0
17:14,1,0
17:23,1,0
17:28,1,0
17:34,1,0
17:42,1,0
17:50,1,0
17:56,1,0
18:02,1,0
18:09,1,0
18:18,1,0
18:23,1,0
18:29,1,0
18:37,1,0
18:47,1,0
18:53,1,0
18:59,1,0
19:05,1,0
19:13,1,0
19:22,1,0
19:29,1,0
19:35,1,0
19:42,1,0
19:49,1,0
19:56,1,0
20:03,1,0
20:10,1,0
20:17,1,0
20:24,1,0
20:31,1,0
20:38,1,0
20:45,1,0
20:52,1,0
20:59,1,0
21:06,1,0
21:13,1,0
21:20,1,0
21:27,1,0
21:34,1,0
21:41,1,0
21:48,1,0
21:55,1,0
22:04,1,0
22:14,1,0
22:24,1,0
22:34,1,0
22:44,1,0
22:54,1,0
23:04,1,0
23:14,1,0
23:24,1,0
23:35,1,0
