时间,是否始发站,是否终到站
06:01,0,0
06:11,0,0
06:21,0,0
06:31,0,0
06:41,0,0
06:51,0,0
07:01,0,0
07:11,0,0
07:21,0,0
07:31,0,0
07:41,0,0
07:48,0,0
07:55,0,0
08:02,0,0
08:09,0,0
08:16,0,0
08:23,0,0
08:30,0,0
08:37,0,0
08:44,0,0
08:51,0,0
08:58,0,0
09:05,0,0
09:12,0,0
09:19,0,0
09:26,0,0
09:33,0,0
09:40,0,0
09:47,0,0
09:54,0,0
10:01,0,0
10:08,0,0
10:15,0,0
10:22,0,0
10:29,0,0
10:36,0,0
10:43,0,0
10:50,0,0
10:57,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:25,0,0
11:32,0,0
11:39,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:37,0,0
15:44,0,0
15:51,0,0
15:58,0,0
16:05,0,0
16:12,0,0
16:19,0,0
16:26,0,0
16:33,0,0
16:39,0,0
16:44,0,0
16:50,0,0
16:55,0,0
17:01,0,0
17:06,0,0
17:12,0,0
17:17,0,0
17:23,0,0
17:29,0,0
17:34,0,0
17:40,0,0
17:45,0,0
17:50,0,0
17:56,0,0
18:02,0,0
18:07,0,0
18:12,0,0
18:18,0,0
18:23,0,0
18:29,0,0
18:34,0,0
18:40,0,0
18:45,0,0
18:51,0,0
18:57,0,0
19:02,0,0
19:07,0,0
19:13,0,0
19:18,0,0
19:24,0,0
19:30,0,0
19:36,0,0
19:42,0,0
19:48,0,0
19:54,0,0
20:00,0,0
20:06,0,0
20:11,0,0
20:17,0,0
20:24,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:51,0,0
20:58,0,0
21:05,0,0
21:12,0,0
21:19,0,0
21:26,0,0
21:33,0,0
21:40,0,0
21:47,0,0
21:54,0,0
22:01,0,0
22:08,0,0
22:15,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:59,0,0
23:09,0,0
23:19,0,0
23:29,0,0
23:39,0,0
23:49,0,0
23:59,0,0
00:09,0,0
00:19,0,0
00:30,0,0
