时间,是否始发站,是否终到站
06:07,0,0
06:17,0,0
06:27,0,0
06:37,0,0
06:47,0,0
06:57,0,0
07:07,0,0
07:17,0,0
07:27,0,0
07:37,0,0
07:47,0,0
07:54,0,0
08:01,0,0
08:08,0,0
08:15,0,0
08:22,0,0
08:29,0,0
08:36,0,0
08:43,0,0
08:50,0,0
08:57,0,0
09:04,0,0
09:11,0,0
09:18,0,0
09:25,0,0
09:32,0,0
09:39,0,0
09:46,0,0
09:53,0,0
10:00,0,0
10:07,0,0
10:14,0,0
10:21,0,0
10:28,0,0
10:35,0,0
10:42,0,0
10:49,0,0
10:56,0,0
11:03,0,0
11:10,0,0
11:17,0,0
11:24,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:11,0,0
16:18,0,0
16:25,0,0
16:32,0,0
16:39,0,0
16:45,0,0
16:51,0,0
16:56,0,0
17:02,0,0
17:07,0,0
17:14,0,0
17:19,0,0
17:24,0,0
17:29,0,0
17:36,0,0
17:40,0,0
17:46,0,0
17:51,0,0
17:57,0,0
18:03,0,0
18:08,0,0
18:13,0,0
18:19,0,0
18:24,0,0
18:31,0,0
18:36,0,0
18:41,0,0
18:46,0,0
18:52,0,0
18:57,0,0
19:03,0,0
19:08,0,0
19:14,0,0
19:19,0,0
19:25,0,0
19:31,0,0
19:36,0,0
19:42,0,0
19:48,0,0
19:54,0,0
20:00,0,0
20:06,0,0
20:12,0,0
20:18,0,0
20:24,0,0
20:30,0,0
20:36,0,0
20:43,0,0
20:50,0,0
20:57,0,0
21:04,0,0
21:11,0,0
21:18,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:57,0,0
23:06,0,0
23:16,0,0
23:26,0,0
23:36,0,0
23:46,0,0
23:56,0,0
00:06,0,0
00:16,0,0
00:26,0,0
00:37,0,0
