时间,是否始发站,是否终到站
05:16,0,0
05:24,0,0
05:32,0,0
05:42,0,0
05:52,0,0
06:02,0,0
06:09,0,0
06:16,0,0
06:23,0,0
06:30,0,0
06:37,0,0
06:44,0,0
06:51,0,0
06:58,0,0
07:05,0,0
07:12,0,0
07:19,0,0
07:26,0,0
07:33,0,0
07:40,0,0
07:46,0,0
07:52,0,0
07:59,0,0
08:05,0,0
08:10,0,0
08:15,0,0
08:20,0,0
08:25,0,0
08:30,0,0
08:35,0,0
08:40,0,0
08:45,0,0
08:50,0,0
08:55,0,0
09:00,0,0
09:05,0,0
09:10,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:53,0,0
10:00,0,0
10:07,0,0
10:14,0,0
10:21,0,0
10:28,0,0
10:35,0,0
10:42,0,0
10:49,0,0
10:55,0,0
11:02,0,0
11:08,0,0
11:15,0,0
11:21,0,0
11:28,0,0
11:35,0,0
11:42,0,0
11:49,0,0
11:56,0,0
12:03,0,0
12:10,0,0
12:17,0,0
12:24,0,0
12:31,0,0
12:38,0,0
12:45,0,0
12:52,0,0
12:59,0,0
13:06,0,0
13:13,0,0
13:20,0,0
13:27,0,0
13:34,0,0
13:41,0,0
13:48,0,0
13:55,0,0
14:02,0,0
14:09,0,0
14:16,0,0
14:23,0,0
14:30,0,0
14:37,0,0
14:44,0,0
14:51,0,0
14:58,0,0
15:05,0,0
15:12,0,0
15:19,0,0
15:26,0,0
15:33,0,0
15:40,0,0
15:47,0,0
15:54,0,0
16:01,0,0
16:08,0,0
16:15,0,0
16:22,0,0
16:29,0,0
16:36,0,0
16:43,0,0
16:50,0,0
16:57,0,0
17:04,0,0
17:11,0,0
17:18,0,0
17:25,0,0
17:32,0,0
17:39,0,0
17:46,0,0
17:53,0,0
18:00,0,0
18:07,0,0
18:14,0,0
18:21,0,0
18:28,0,0
18:35,0,0
18:42,0,0
18:49,0,0
18:56,0,0
19:03,0,0
19:10,0,0
19:17,0,0
19:24,0,0
19:31,0,0
19:38,0,0
19:45,0,0
19:52,0,0
19:59,0,0
20:06,0,0
20:13,0,0
20:20,0,0
20:27,0,0
20:34,0,0
20:41,0,0
20:48,0,0
20:55,0,0
21:02,0,0
21:10,0,0
21:18,0,0
21:28,0,0
21:38,0,0
21:48,0,0
21:58,0,0
22:09,0,0
22:19,0,0
22:29,0,0
22:39,0,0
22:49,0,0
22:59,0,0
23:09,0,0
23:19,0,0
23:29,0,0
23:42,0,0
23:55,0,0
00:09,0,0
