时间,是否始发站,是否终到站
05:00,0,0
05:10,0,0
05:20,0,0
05:30,0,0
05:37,0,0
05:44,0,0
05:51,0,0
05:58,0,0
06:05,0,0
06:12,0,0
06:19,0,0
06:26,0,0
06:33,0,0
06:40,0,0
06:47,0,0
06:54,0,0
07:01,0,0
07:07,0,0
07:14,0,0
07:20,0,0
07:26,0,0
07:33,0,0
07:38,0,0
07:43,0,0
07:48,0,0
07:53,0,0
07:58,0,0
08:03,0,0
08:08,0,0
08:13,0,0
08:18,0,0
08:23,0,0
08:28,0,0
08:33,0,0
08:38,0,0
08:43,0,0
08:48,0,0
08:53,0,0
08:58,0,0
09:03,0,0
09:08,0,0
09:13,0,0
09:20,0,0
09:27,0,0
09:34,0,0
09:41,0,0
09:48,0,0
09:55,0,0
10:02,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:29,0,0
10:36,0,0
10:42,0,0
10:49,0,0
10:56,0,0
11:03,0,0
11:10,0,0
11:17,0,0
11:24,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:11,0,0
16:18,0,0
16:25,0,0
16:32,0,0
16:39,0,0
16:46,0,0
16:53,0,0
17:00,0,0
17:07,0,0
17:14,0,0
17:21,0,0
17:28,0,0
17:35,0,0
17:42,0,0
17:49,0,0
17:56,0,0
18:03,0,0
18:10,0,0
18:17,0,0
18:24,0,0
18:31,0,0
18:38,0,0
18:45,0,0
18:52,0,0
18:59,0,0
19:06,0,0
19:13,0,0
19:20,0,0
19:27,0,0
19:34,0,0
19:41,0,0
19:48,0,0
19:55,0,0
20:02,0,0
20:09,0,0
20:16,0,0
20:23,0,0
20:30,0,0
20:38,0,0
20:46,0,0
20:56,0,0
21:06,0,0
21:16,0,0
21:26,0,0
21:37,0,0
21:47,0,0
21:57,0,0
22:07,0,0
22:17,0,0
22:27,0,0
22:37,0,0
22:47,0,0
22:57,0,0
23:10,0,0
23:23,0,0
23:37,0,0
