时间,是否始发站,是否终到站
04:51,1,0
05:01,1,0
05:11,1,0
05:21,1,0
05:28,1,0
05:34,1,0
05:42,1,0
05:49,1,0
05:56,1,0
06:03,1,0
06:10,1,0
06:17,1,0
06:24,1,0
06:31,1,0
06:38,1,0
06:45,1,0
06:52,1,0
06:58,1,0
07:05,1,0
07:11,1,0
07:17,1,0
07:24,1,0
07:29,1,0
07:34,1,0
07:39,1,0
07:44,1,0
07:49,1,0
07:54,1,0
07:59,1,0
08:04,1,0
08:09,1,0
08:14,1,0
08:19,1,0
08:24,1,0
08:28,1,0
08:34,1,0
08:39,1,0
08:44,1,0
08:49,1,0
08:54,1,0
08:59,1,0
09:03,1,0
09:11,1,0
09:18,1,0
09:25,1,0
09:32,1,0
09:39,1,0
09:46,1,0
09:53,1,0
10:00,1,0
10:07,1,0
10:14,1,0
10:20,1,0
10:27,1,0
10:33,1,0
10:40,1,0
10:47,1,0
10:54,1,0
11:01,1,0
11:08,1,0
11:15,1,0
11:22,1,0
11:29,1,0
11:36,1,0
11:43,1,0
11:50,1,0
11:57,1,0
12:04,1,0
12:11,1,0
12:18,1,0
12:25,1,0
12:32,1,0
12:39,1,0
12:46,1,0
12:53,1,0
13:00,1,0
13:07,1,0
13:14,1,0
13:21,1,0
13:28,1,0
13:35,1,0
13:42,1,0
13:49,1,0
13:56,1,0
14:03,1,0
14:10,1,0
14:17,1,0
14:24,1,0
14:31,1,0
14:38,1,0
14:45,1,0
14:52,1,0
14:59,1,0
15:06,1,0
15:13,1,0
15:20,1,0
15:27,1,0
15:34,1,0
15:41,1,0
15:48,1,0
15:55,1,0
16:02,1,0
16:09,1,0
16:16,1,0
16:23,1,0
16:30,1,0
16:37,1,0
16:44,1,0
16:51,1,0
16:58,1,0
17:05,1,0
17:12,1,0
17:19,1,0
17:26,1,0
17:33,1,0
17:40,1,0
17:47,1,0
17:54,1,0
18:01,1,0
18:08,1,0
18:15,1,0
18:22,1,0
18:29,1,0
18:36,1,0
18:43,1,0
18:50,1,0
18:57,1,0
19:04,1,0
19:11,1,0
19:18,1,0
19:25,1,0
19:32,1,0
19:39,1,0
19:46,1,0
19:53,1,0
20:00,1,0
20:07,1,0
20:14,1,0
20:21,1,0
20:29,1,0
20:37,1,0
20:47,1,0
20:57,1,0
21:07,1,0
21:17,1,0
21:28,1,0
21:38,1,0
21:48,1,0
21:58,1,0
22:08,1,0
22:18,1,0
22:28,1,0
22:38,1,0
22:48,1,0
23:01,1,0
23:14,1,0
23:28,1,0
