时间,是否始发站,是否终到站
05:08,0,0
05:18,0,0
05:28,0,0
05:38,0,0
05:45,0,0
05:52,0,0
05:59,0,0
06:06,0,0
06:13,0,0
06:20,0,0
06:27,0,0
06:34,0,0
06:41,0,0
06:48,0,0
06:55,0,0
07:02,0,0
07:09,0,0
07:15,0,0
07:22,0,0
07:28,0,0
07:34,0,0
07:41,0,0
07:46,0,0
07:51,0,0
07:56,0,0
08:01,0,0
08:06,0,0
08:11,0,0
08:16,0,0
08:21,0,0
08:26,0,0
08:31,0,0
08:36,0,0
08:41,0,0
08:46,0,0
08:51,0,0
08:56,0,0
09:01,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:21,0,0
09:28,0,0
09:35,0,0
09:42,0,0
09:49,0,0
09:56,0,0
10:03,0,0
10:10,0,0
10:17,0,0
10:24,0,0
10:31,0,0
10:37,0,0
10:44,0,0
10:50,0,0
10:57,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:25,0,0
11:32,0,0
11:39,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:37,0,0
15:44,0,0
15:51,0,0
15:58,0,0
16:05,0,0
16:12,0,0
16:19,0,0
16:26,0,0
16:33,0,0
16:40,0,0
16:47,0,0
16:54,0,0
17:01,0,0
17:08,0,0
17:15,0,0
17:22,0,0
17:29,0,0
17:36,0,0
17:43,0,0
17:50,0,0
17:57,0,0
18:04,0,0
18:11,0,0
18:18,0,0
18:25,0,0
18:32,0,0
18:39,0,0
18:46,0,0
18:53,0,0
19:00,0,0
19:07,0,0
19:14,0,0
19:21,0,0
19:28,0,0
19:35,0,0
19:42,0,0
19:49,0,0
19:56,0,0
20:03,0,0
20:10,0,0
20:17,0,0
20:24,0,0
20:31,0,0
20:38,0,0
20:46,0,0
20:54,0,0
21:04,0,0
21:14,0,0
21:24,0,0
21:34,0,0
21:45,0,0
21:55,0,0
22:05,0,0
22:15,0,0
22:25,0,0
22:35,0,0
22:45,0,0
22:55,0,0
23:05,0,0
23:18,0,0
23:31,0,0
23:45,0,0
