时间,是否始发站,是否终到站
04:49,0,0
04:59,0,0
05:09,0,0
05:19,0,0
05:29,0,0
05:39,0,0
05:49,0,0
05:57,0,0
06:06,0,0
06:16,0,0
06:26,0,0
06:36,0,0
06:43,0,0
06:50,0,0
06:57,0,0
07:04,0,0
07:11,0,0
07:18,0,0
07:25,0,0
07:32,0,0
07:39,0,0
07:46,0,0
07:53,0,0
08:00,0,0
08:07,0,0
08:13,0,0
08:20,0,0
08:26,0,0
08:32,0,0
08:39,0,0
08:49,0,0
08:54,0,0
08:59,0,0
09:09,0,0
09:14,0,0
09:19,0,0
09:29,0,0
09:34,0,0
09:44,0,0
09:49,0,0
09:59,0,0
10:04,0,0
10:09,0,0
10:19,0,0
10:26,0,0
10:33,0,0
10:40,0,0
10:47,0,0
10:54,0,0
11:01,0,0
11:08,0,0
11:15,0,0
11:22,0,0
11:29,0,0
11:35,0,0
11:42,0,0
11:48,0,0
11:55,0,0
12:02,0,0
12:09,0,0
12:16,0,0
12:23,0,0
12:30,0,0
12:37,0,0
12:44,0,0
12:51,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:19,0,0
13:26,0,0
13:33,0,0
13:40,0,0
13:47,0,0
13:54,0,0
14:01,0,0
14:08,0,0
14:15,0,0
14:22,0,0
14:29,0,0
14:36,0,0
14:43,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:11,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:39,0,0
15:46,0,0
15:53,0,0
16:00,0,0
16:07,0,0
16:14,0,0
16:21,0,0
16:28,0,0
16:35,0,0
16:42,0,0
16:49,0,0
16:56,0,0
17:03,0,0
17:10,0,0
17:17,0,0
17:24,0,0
17:31,0,0
17:38,0,0
17:45,0,0
17:52,0,0
17:59,0,0
18:06,0,0
18:13,0,0
18:20,0,0
18:27,0,0
18:34,0,0
18:41,0,0
18:48,0,0
18:55,0,0
19:02,0,0
19:09,0,0
19:16,0,0
19:23,0,0
19:30,0,0
19:37,0,0
19:44,0,0
19:51,0,0
19:58,0,0
20:05,0,0
20:12,0,0
20:19,0,0
20:26,0,0
20:33,0,0
20:40,0,0
20:47,0,0
20:54,0,0
21:01,0,0
21:08,0,0
21:15,0,0
21:22,0,0
21:29,0,0
21:36,0,0
21:44,0,0
21:52,0,0
22:02,0,0
22:12,0,0
22:22,0,0
22:32,0,0
22:43,0,0
22:53,0,0
23:03,0,0
23:13,0,0
23:23,0,0
23:33,0,0
23:43,0,0
23:53,0,0
00:03,0,0
