时间,是否始发站,是否终到站
05:41,0,0
05:49,0,0
05:57,0,0
06:07,0,0
06:17,0,0
06:27,0,0
06:34,0,0
06:41,0,0
06:48,0,0
06:55,0,0
07:02,0,0
07:09,0,0
07:16,0,0
07:23,0,0
07:30,0,0
07:37,0,0
07:44,0,0
07:51,0,0
07:58,0,0
08:05,0,0
08:11,0,0
08:17,0,0
08:24,0,0
08:30,0,0
08:35,0,0
08:40,0,0
08:45,0,0
08:50,0,0
08:55,0,0
09:00,0,0
09:05,0,0
09:10,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:50,0,0
09:55,0,0
10:00,0,0
10:05,0,0
10:10,0,0
10:18,0,0
10:25,0,0
10:32,0,0
10:39,0,0
10:46,0,0
10:53,0,0
11:00,0,0
11:07,0,0
11:14,0,0
11:20,0,0
11:27,0,0
11:33,0,0
11:40,0,0
11:46,0,0
11:53,0,0
12:00,0,0
12:07,0,0
12:14,0,0
12:21,0,0
12:28,0,0
12:35,0,0
12:42,0,0
12:49,0,0
12:56,0,0
13:03,0,0
13:10,0,0
13:17,0,0
13:24,0,0
13:31,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:59,0,0
14:06,0,0
14:13,0,0
14:20,0,0
14:27,0,0
14:34,0,0
14:41,0,0
14:48,0,0
14:55,0,0
15:02,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:30,0,0
15:37,0,0
15:44,0,0
15:51,0,0
15:58,0,0
16:05,0,0
16:12,0,0
16:19,0,0
16:26,0,0
16:33,0,0
16:40,0,0
16:47,0,0
16:54,0,0
17:01,0,0
17:08,0,0
17:15,0,0
17:22,0,0
17:29,0,0
17:36,0,0
17:43,0,0
17:50,0,0
17:57,0,0
18:04,0,0
18:11,0,0
18:18,0,0
18:25,0,0
18:32,0,0
18:39,0,0
18:46,0,0
18:53,0,0
19:00,0,0
19:07,0,0
19:14,0,0
19:21,0,0
19:28,0,0
19:35,0,0
19:42,0,0
19:49,0,0
19:56,0,0
20:03,0,0
20:10,0,0
20:17,0,0
20:24,0,0
20:31,0,0
20:38,0,0
20:45,0,0
20:52,0,0
20:59,0,0
21:06,0,0
21:13,0,0
21:20,0,0
21:27,0,0
21:35,0,0
21:43,0,0
21:53,0,0
22:03,0,0
22:13,0,0
22:23,0,0
22:34,0,0
22:44,0,0
22:54,0,0
23:04,0,0
23:14,0,0
23:24,0,0
23:34,0,0
23:44,0,0
23:54,0,0
00:07,0,0
00:20,0,0
00:34,0,0
