时间,是否始发站,是否终到站
04:59,0,0
05:10,0,0
05:20,0,0
05:30,0,0
05:40,0,0
05:50,0,0
06:00,0,0
06:08,0,0
06:16,0,0
06:26,0,0
06:36,0,0
06:46,0,0
06:53,0,0
07:00,0,0
07:07,0,0
07:14,0,0
07:21,0,0
07:28,0,0
07:35,0,0
07:42,0,0
07:49,0,0
07:56,0,0
08:03,0,0
08:10,0,0
08:17,0,0
08:24,0,0
08:30,0,0
08:36,0,0
08:43,0,0
08:49,0,0
08:59,0,0
09:04,0,0
09:09,0,0
09:19,0,0
09:24,0,0
09:29,0,0
09:39,0,0
09:44,0,0
09:54,0,0
09:59,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:29,0,0
10:37,0,0
10:44,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:19,0,0
11:26,0,0
11:33,0,0
11:39,0,0
11:46,0,0
11:52,0,0
11:59,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:39,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:14,0,0
15:21,0,0
15:28,0,0
15:35,0,0
15:42,0,0
15:49,0,0
15:56,0,0
16:03,0,0
16:10,0,0
16:17,0,0
16:24,0,0
16:31,0,0
16:38,0,0
16:45,0,0
16:52,0,0
16:59,0,0
17:06,0,0
17:13,0,0
17:20,0,0
17:27,0,0
17:34,0,0
17:41,0,0
17:48,0,0
17:55,0,0
18:02,0,0
18:09,0,0
18:16,0,0
18:23,0,0
18:30,0,0
18:37,0,0
18:44,0,0
18:51,0,0
18:58,0,0
19:05,0,0
19:12,0,0
19:19,0,0
19:26,0,0
19:33,0,0
19:40,0,0
19:47,0,0
19:54,0,0
20:01,0,0
20:08,0,0
20:15,0,0
20:22,0,0
20:29,0,0
20:36,0,0
20:43,0,0
20:50,0,0
20:57,0,0
21:04,0,0
21:11,0,0
21:18,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:54,0,0
22:02,0,0
22:12,0,0
22:22,0,0
22:32,0,0
22:42,0,0
22:53,0,0
23:03,0,0
23:13,0,0
23:23,0,0
23:33,0,0
23:43,0,0
23:53,0,0
00:03,0,0
00:13,0,0
