时间,是否始发站,是否终到站
05:32,0,0
05:41,0,0
05:49,0,0
05:59,0,0
06:09,0,0
06:19,0,0
06:26,0,0
06:33,0,0
06:40,0,0
06:47,0,0
06:54,0,0
07:01,0,0
07:08,0,0
07:15,0,0
07:22,0,0
07:29,0,0
07:36,0,0
07:43,0,0
07:50,0,0
07:56,0,0
08:03,0,0
08:09,0,0
08:15,0,0
08:22,0,0
08:27,0,0
08:32,0,0
08:37,0,0
08:42,0,0
08:47,0,0
08:52,0,0
08:57,0,0
09:02,0,0
09:07,0,0
09:12,0,0
09:17,0,0
09:22,0,0
09:27,0,0
09:32,0,0
09:37,0,0
09:42,0,0
09:47,0,0
09:52,0,0
09:57,0,0
10:02,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:12,0,0
11:18,0,0
11:25,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:11,0,0
16:18,0,0
16:25,0,0
16:32,0,0
16:39,0,0
16:46,0,0
16:53,0,0
17:00,0,0
17:07,0,0
17:14,0,0
17:21,0,0
17:28,0,0
17:35,0,0
17:42,0,0
17:49,0,0
17:56,0,0
18:03,0,0
18:10,0,0
18:17,0,0
18:24,0,0
18:31,0,0
18:38,0,0
18:45,0,0
18:52,0,0
18:59,0,0
19:06,0,0
19:13,0,0
19:20,0,0
19:27,0,0
19:34,0,0
19:41,0,0
19:48,0,0
19:55,0,0
20:02,0,0
20:09,0,0
20:16,0,0
20:23,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:51,0,0
20:58,0,0
21:05,0,0
21:12,0,0
21:19,0,0
21:27,0,0
21:35,0,0
21:45,0,0
21:55,0,0
22:05,0,0
22:15,0,0
22:26,0,0
22:36,0,0
22:46,0,0
22:56,0,0
23:06,0,0
23:16,0,0
23:26,0,0
23:36,0,0
23:46,0,0
23:59,0,0
00:12,0,0
00:26,0,0
