时间,是否始发站,是否终到站
05:35,0,0
05:43,0,0
05:51,0,0
06:01,0,0
06:11,0,0
06:21,0,0
06:28,0,0
06:35,0,0
06:42,0,0
06:49,0,0
06:56,0,0
07:03,0,0
07:10,0,0
07:17,0,0
07:24,0,0
07:31,0,0
07:38,0,0
07:45,0,0
07:52,0,0
07:58,0,0
08:05,0,0
08:11,0,0
08:17,0,0
08:24,0,0
08:29,0,0
08:34,0,0
08:39,0,0
08:44,0,0
08:49,0,0
08:54,0,0
08:59,0,0
09:04,0,0
09:09,0,0
09:14,0,0
09:19,0,0
09:24,0,0
09:29,0,0
09:34,0,0
09:39,0,0
09:44,0,0
09:49,0,0
09:54,0,0
09:59,0,0
10:04,0,0
10:11,0,0
10:18,0,0
10:25,0,0
10:32,0,0
10:39,0,0
10:46,0,0
10:53,0,0
11:00,0,0
11:07,0,0
11:14,0,0
11:20,0,0
11:27,0,0
11:33,0,0
11:40,0,0
11:47,0,0
11:54,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:22,0,0
12:29,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:03,0,0
15:10,0,0
15:17,0,0
15:24,0,0
15:31,0,0
15:38,0,0
15:45,0,0
15:52,0,0
15:59,0,0
16:06,0,0
16:13,0,0
16:20,0,0
16:27,0,0
16:34,0,0
16:41,0,0
16:48,0,0
16:55,0,0
17:02,0,0
17:09,0,0
17:16,0,0
17:23,0,0
17:30,0,0
17:37,0,0
17:44,0,0
17:51,0,0
17:58,0,0
18:05,0,0
18:12,0,0
18:19,0,0
18:26,0,0
18:33,0,0
18:40,0,0
18:47,0,0
18:54,0,0
19:01,0,0
19:08,0,0
19:15,0,0
19:22,0,0
19:29,0,0
19:36,0,0
19:43,0,0
19:50,0,0
19:57,0,0
20:04,0,0
20:11,0,0
20:18,0,0
20:25,0,0
20:32,0,0
20:39,0,0
20:46,0,0
20:53,0,0
21:00,0,0
21:07,0,0
21:14,0,0
21:21,0,0
21:29,0,0
21:37,0,0
21:47,0,0
21:57,0,0
22:07,0,0
22:17,0,0
22:28,0,0
22:38,0,0
22:48,0,0
22:58,0,0
23:08,0,0
23:18,0,0
23:28,0,0
23:38,0,0
23:48,0,0
00:01,0,0
00:14,0,0
00:28,0,0
