时间,是否始发站,是否终到站
05:01,0,1
05:12,0,1
05:22,0,1
05:32,0,1
05:42,0,1
05:52,0,1
06:02,0,1
06:10,0,1
06:18,0,1
06:28,0,1
06:38,0,1
06:48,0,1
06:55,0,1
07:02,0,1
07:09,0,1
07:16,0,1
07:23,0,1
07:30,0,1
07:37,0,1
07:44,0,1
07:51,0,1
07:58,0,1
08:05,0,1
08:12,0,1
08:19,0,1
08:26,0,1
08:32,0,1
08:38,0,1
08:45,0,1
08:51,0,1
09:01,0,1
09:06,0,1
09:11,0,1
09:21,0,1
09:26,0,1
09:31,0,1
09:41,0,1
09:46,0,1
09:56,0,1
10:01,0,1
10:11,0,1
10:16,0,1
10:21,0,1
10:31,0,1
10:39,0,1
10:46,0,1
10:53,0,1
11:00,0,1
11:07,0,1
11:14,0,1
11:21,0,1
11:28,0,1
11:35,0,1
11:41,0,1
11:48,0,1
11:54,0,1
12:01,0,1
12:07,0,1
12:14,0,1
12:21,0,1
12:28,0,1
12:35,0,1
12:42,0,1
12:49,0,1
12:56,0,1
13:03,0,1
13:10,0,1
13:17,0,1
13:24,0,1
13:31,0,1
13:38,0,1
13:45,0,1
13:52,0,1
13:59,0,1
14:06,0,1
14:13,0,1
14:20,0,1
14:27,0,1
14:34,0,1
14:41,0,1
14:48,0,1
14:55,0,1
15:02,0,1
15:09,0,1
15:16,0,1
15:23,0,1
15:30,0,1
15:37,0,1
15:44,0,1
15:51,0,1
15:58,0,1
16:05,0,1
16:12,0,1
16:19,0,1
16:26,0,1
16:33,0,1
16:40,0,1
16:47,0,1
16:54,0,1
17:01,0,1
17:08,0,1
17:15,0,1
17:22,0,1
17:29,0,1
17:36,0,1
17:43,0,1
17:50,0,1
17:57,0,1
18:04,0,1
18:11,0,1
18:18,0,1
18:25,0,1
18:32,0,1
18:39,0,1
18:46,0,1
18:53,0,1
19:00,0,1
19:07,0,1
19:14,0,1
19:21,0,1
19:28,0,1
19:35,0,1
19:42,0,1
19:49,0,1
19:56,0,1
20:03,0,1
20:10,0,1
20:17,0,1
20:24,0,1
20:31,0,1
20:38,0,1
20:45,0,1
20:52,0,1
20:59,0,1
21:06,0,1
21:13,0,1
21:20,0,1
21:27,0,1
21:34,0,1
21:41,0,1
21:48,0,1
21:56,0,1
22:04,0,1
22:14,0,1
22:24,0,1
22:34,0,1
22:44,0,1
22:55,0,1
23:05,0,1
23:15,0,1
23:25,0,1
23:35,0,1
23:45,0,1
23:55,0,1
00:05,0,1
00:15,0,1
