时间,是否始发站,是否终到站
05:17,0,0
05:27,0,0
05:31,0,0
05:35,0,0
05:37,0,0
05:41,0,0
05:45,0,0
05:49,0,0
05:51,0,0
05:55,0,0
05:59,0,0
06:03,0,0
06:07,0,0
06:11,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:31,0,0
06:36,0,0
06:41,0,0
06:43,0,0
06:46,0,0
06:48,0,0
06:52,0,0
06:55,0,0
06:58,0,0
07:00,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:32,0,0
08:35,0,0
08:37,0,0
08:40,0,0
08:43,0,0
08:48,0,0
08:51,0,0
08:54,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:08,0,0
09:13,0,0
09:18,0,0
09:22,0,0
09:27,0,0
09:32,0,0
09:37,0,0
09:40,0,0
09:44,0,0
09:49,0,0
09:52,0,0
09:56,0,0
10:01,0,0
10:04,0,0
10:08,0,0
10:13,0,0
10:16,0,0
10:21,0,0
10:27,0,0
10:33,0,0
10:39,0,0
10:45,0,0
10:51,0,0
10:57,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:24,0,0
14:29,0,0
14:33,0,0
14:36,0,0
14:40,0,0
14:43,0,0
14:47,0,0
14:50,0,0
14:54,0,0
14:57,0,0
15:01,0,0
15:04,0,0
15:08,0,0
15:11,0,0
15:15,0,0
15:18,0,0
15:22,0,0
15:25,0,0
15:29,0,0
15:32,0,0
15:36,0,0
15:38,0,0
15:42,0,0
15:45,0,0
15:49,0,0
15:52,0,0
15:56,0,0
15:59,0,0
16:04,0,0
16:06,0,0
16:10,0,0
16:14,0,0
16:18,0,0
16:21,0,0
16:25,0,0
16:28,0,0
16:32,0,0
16:35,0,0
16:39,0,0
16:42,0,0
16:46,0,0
16:49,0,0
16:53,0,0
16:56,0,0
17:00,0,0
17:03,0,0
17:07,0,0
17:10,0,0
17:14,0,0
17:17,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:32,0,0
18:35,0,0
18:42,0,0
18:46,0,0
18:52,0,0
18:56,0,0
19:01,0,0
19:03,0,0
19:07,0,0
19:10,0,0
19:15,0,0
19:17,0,0
19:22,0,0
19:24,0,0
19:28,0,0
19:30,0,0
19:32,0,0
19:37,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:58,0,0
20:00,0,0
20:03,0,0
20:08,0,0
20:12,0,0
20:14,0,0
20:19,0,0
20:21,0,0
20:24,0,0
20:29,0,0
20:32,0,0
20:36,0,0
20:39,0,0
20:43,0,0
20:46,0,0
20:52,0,0
20:58,0,0
21:04,0,0
21:10,0,0
21:15,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:20,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:02,0,0
