时间,是否始发站,是否终到站
05:23,0,0
05:33,0,0
05:44,0,0
05:50,0,0
05:55,0,0
06:00,0,0
06:05,0,0
06:09,0,0
06:15,0,0
06:20,0,0
06:23,0,0
06:28,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:39,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:51,0,0
07:53,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:03,0,0
08:05,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:49,0,0
08:51,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:03,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:45,0,0
09:47,0,0
09:49,0,0
09:51,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:12,0,0
10:16,0,0
10:21,0,0
10:26,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:48,0,0
10:52,0,0
10:57,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:12,0,0
11:16,0,0
11:21,0,0
11:24,0,0
11:29,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:15,0,0
15:21,0,0
15:27,0,0
15:30,0,0
15:35,0,0
15:40,0,0
15:42,0,0
15:47,0,0
15:49,0,0
15:54,0,0
15:56,0,0
16:01,0,0
16:03,0,0
16:08,0,0
16:10,0,0
16:15,0,0
16:17,0,0
16:22,0,0
16:24,0,0
16:29,0,0
16:31,0,0
16:36,0,0
16:38,0,0
16:42,0,0
16:44,0,0
16:49,0,0
16:52,0,0
16:56,0,0
16:59,0,0
17:03,0,0
17:06,0,0
17:10,0,0
17:12,0,0
17:16,0,0
17:18,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:25,0,0
19:27,0,0
19:29,0,0
19:32,0,0
19:34,0,0
19:36,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:49,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:21,0,0
20:24,0,0
20:28,0,0
20:31,0,0
20:35,0,0
20:38,0,0
20:40,0,0
20:44,0,0
20:47,0,0
20:51,0,0
20:55,0,0
20:58,0,0
21:01,0,0
21:05,0,0
21:08,0,0
21:11,0,0
21:16,0,0
21:19,0,0
21:22,0,0
21:26,0,0
21:29,0,0
21:32,0,0
21:37,0,0
21:40,0,0
21:44,0,0
21:47,0,0
21:51,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:18,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:41,0,0
22:47,0,0
22:54,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:27,0,0
23:34,0,0
23:41,0,0
23:48,0,0
23:55,0,0
00:02,0,0
00:09,0,0
