时间,是否始发站,是否终到站
05:38,0,0
05:48,0,0
05:52,0,0
05:56,0,0
05:58,0,0
06:02,0,0
06:06,0,0
06:10,0,0
06:12,0,0
06:16,0,0
06:20,0,0
06:24,0,0
06:28,0,0
06:32,0,0
06:36,0,0
06:40,0,0
06:44,0,0
06:48,0,0
06:52,0,0
06:57,0,0
07:02,0,0
07:04,0,0
07:07,0,0
07:09,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:20,0,0
09:23,0,0
09:25,0,0
09:29,0,0
09:34,0,0
09:39,0,0
09:43,0,0
09:48,0,0
09:53,0,0
09:58,0,0
10:01,0,0
10:05,0,0
10:10,0,0
10:13,0,0
10:17,0,0
10:22,0,0
10:25,0,0
10:29,0,0
10:34,0,0
10:37,0,0
10:42,0,0
10:47,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:44,0,0
14:49,0,0
14:54,0,0
14:56,0,0
15:01,0,0
15:03,0,0
15:08,0,0
15:10,0,0
15:15,0,0
15:17,0,0
15:22,0,0
15:24,0,0
15:29,0,0
15:31,0,0
15:36,0,0
15:38,0,0
15:43,0,0
15:45,0,0
15:50,0,0
15:52,0,0
15:56,0,0
15:58,0,0
16:03,0,0
16:06,0,0
16:10,0,0
16:13,0,0
16:17,0,0
16:20,0,0
16:24,0,0
16:26,0,0
16:30,0,0
16:35,0,0
16:39,0,0
16:42,0,0
16:46,0,0
16:49,0,0
16:53,0,0
16:56,0,0
17:00,0,0
17:03,0,0
17:06,0,0
17:10,0,0
17:14,0,0
17:17,0,0
17:21,0,0
17:24,0,0
17:28,0,0
17:31,0,0
17:34,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:56,0,0
18:59,0,0
19:03,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:16,0,0
19:21,0,0
19:23,0,0
19:28,0,0
19:30,0,0
19:35,0,0
19:37,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:52,0,0
19:54,0,0
19:59,0,0
20:01,0,0
20:05,0,0
20:09,0,0
20:12,0,0
20:15,0,0
20:20,0,0
20:22,0,0
20:25,0,0
20:30,0,0
20:34,0,0
20:36,0,0
20:41,0,0
20:43,0,0
20:46,0,0
20:51,0,0
20:54,0,0
20:58,0,0
21:01,0,0
21:05,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:37,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:15,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:16,0,0
23:24,0,0
