时间,是否始发站,是否终到站
05:17,0,0
05:28,0,0
05:39,0,0
05:44,0,0
05:49,0,0
05:54,0,0
05:59,0,0
06:04,0,0
06:09,0,0
06:14,0,0
06:18,0,0
06:23,0,0
06:27,0,0
06:29,0,0
06:31,0,0
06:33,0,0
06:35,0,0
06:37,0,0
06:39,0,0
06:41,0,0
06:43,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:51,0,0
06:53,0,0
06:55,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:11,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:57,0,0
08:00,0,0
08:02,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,1
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,1
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,1
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,1
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,1
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:06,0,0
10:10,0,0
10:16,0,0
10:20,0,0
10:24,0,0
10:29,0,0
10:35,0,0
10:40,0,0
10:42,0,0
10:46,0,0
10:51,0,0
10:54,0,0
10:58,0,0
11:03,0,0
11:06,0,0
11:11,0,0
11:16,0,0
11:18,0,0
11:24,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:25,0,0
15:30,0,0
15:34,0,0
15:37,0,0
15:41,0,0
15:44,0,0
15:48,0,0
15:51,0,0
15:55,0,0
15:58,0,0
16:02,0,0
16:05,0,0
16:09,0,0
16:12,0,0
16:16,0,0
16:19,0,0
16:23,0,0
16:26,0,0
16:30,0,0
16:33,0,0
16:37,0,0
16:39,0,0
16:43,0,0
16:46,0,0
16:50,0,0
16:53,0,0
16:57,0,0
17:00,0,0
17:05,0,0
17:07,0,0
17:11,0,0
17:13,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:31,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:12,0,0
20:15,0,0
20:19,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:32,0,0
20:35,0,0
20:39,0,0
20:42,0,0
20:45,0,0
20:50,0,0
20:53,0,0
20:56,0,0
21:00,0,0
21:02,0,0
21:06,0,0
21:11,0,0
21:14,0,0
21:16,0,0
21:21,0,0
21:23,0,0
21:27,0,0
21:32,0,0
21:34,0,0
21:39,0,0
21:41,0,0
21:46,0,0
21:48,0,0
21:54,0,0
22:00,0,0
22:06,0,0
22:13,0,0
22:17,0,0
22:24,0,0
22:31,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:16,0,0
23:22,0,0
23:29,0,0
23:36,0,0
23:43,0,0
23:50,0,0
23:57,0,0
00:04,0,0
