时间,是否始发站,是否终到站
05:15,0,0
05:25,0,0
05:36,0,0
05:42,0,0
05:47,0,0
05:52,0,0
05:57,0,0
06:02,0,0
06:07,0,0
06:12,0,0
06:15,0,0
06:21,0,0
06:25,0,0
06:27,0,0
06:29,0,0
06:31,0,0
06:33,0,0
06:35,0,0
06:37,0,0
06:39,0,0
06:41,0,0
06:43,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:51,0,0
06:53,0,0
06:55,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:11,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:34,0,0
07:36,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:46,0,0
07:48,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:44,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:04,0,0
10:08,0,0
10:13,0,0
10:18,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:37,0,0
10:40,0,0
10:44,0,0
10:49,0,0
10:52,0,0
10:56,0,0
11:01,0,0
11:04,0,0
11:08,0,0
11:13,0,0
11:16,0,0
11:21,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:07,0,0
15:13,0,0
15:19,0,0
15:23,0,0
15:27,0,0
15:32,0,0
15:34,0,0
15:39,0,0
15:41,0,0
15:46,0,0
15:48,0,0
15:53,0,0
15:55,0,0
16:00,0,0
16:02,0,0
16:07,0,0
16:09,0,0
16:14,0,0
16:16,0,0
16:21,0,0
16:23,0,0
16:28,0,0
16:30,0,0
16:35,0,0
16:37,0,0
16:41,0,0
16:44,0,0
16:48,0,0
16:51,0,0
16:55,0,0
16:58,0,0
17:02,0,0
17:04,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:52,0,0
19:55,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:27,0,0
20:30,0,0
20:32,0,0
20:37,0,0
20:39,0,0
20:43,0,0
20:47,0,0
20:50,0,0
20:53,0,0
20:58,0,0
21:00,0,0
21:03,0,0
21:08,0,0
21:12,0,0
21:14,0,0
21:19,0,0
21:21,0,0
21:24,0,0
21:29,0,0
21:32,0,0
21:36,0,0
21:39,0,0
21:43,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:15,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:20,0,0
23:26,0,0
23:33,0,0
23:40,0,0
23:47,0,0
23:54,0,0
00:01,0,0
