时间,是否始发站,是否终到站
05:11,0,0
05:21,0,0
05:32,0,0
05:38,0,0
05:43,0,0
05:48,0,0
05:53,0,0
05:57,0,0
06:03,0,0
06:08,0,0
06:11,0,0
06:16,0,0
06:20,0,0
06:22,0,0
06:24,0,0
06:26,0,0
06:28,0,0
06:30,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:39,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:51,0,0
07:53,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:42,0,0
09:44,0,0
09:47,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:00,0,0
10:04,0,0
10:09,0,0
10:14,0,0
10:18,0,0
10:23,0,0
10:28,0,0
10:33,0,0
10:36,0,0
10:40,0,0
10:45,0,0
10:47,0,0
10:52,0,0
10:57,0,0
11:00,0,0
11:04,0,0
11:09,0,0
11:12,0,0
11:17,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:15,0,0
15:18,0,0
15:23,0,0
15:27,0,0
15:30,0,0
15:34,0,0
15:37,0,0
15:41,0,0
15:44,0,0
15:48,0,0
15:51,0,0
15:55,0,0
15:58,0,0
16:02,0,0
16:05,0,0
16:09,0,0
16:12,0,0
16:16,0,0
16:19,0,0
16:23,0,0
16:26,0,0
16:30,0,0
16:32,0,0
16:36,0,0
16:39,0,0
16:43,0,0
16:46,0,0
16:50,0,0
16:53,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:06,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:30,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:44,0,0
19:47,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:12,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:25,0,0
20:27,0,0
20:32,0,0
20:35,0,0
20:38,0,0
20:42,0,0
20:45,0,0
20:49,0,0
20:53,0,0
20:55,0,0
20:59,0,0
21:03,0,0
21:07,0,0
21:09,0,0
21:14,0,0
21:16,0,0
21:20,0,0
21:24,0,0
21:27,0,0
21:31,0,0
21:34,0,0
21:38,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:10,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:15,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:57,0,0
