时间,是否始发站,是否终到站
05:35,0,0
05:45,0,0
05:49,0,0
05:53,0,0
05:55,0,0
05:59,0,0
06:03,0,0
06:07,0,0
06:09,0,0
06:13,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:29,0,0
06:33,0,0
06:37,0,0
06:41,0,0
06:45,0,0
06:49,0,0
06:54,0,0
06:59,0,0
07:01,0,0
07:04,0,0
07:06,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:20,0,0
09:22,0,0
09:26,0,0
09:31,0,0
09:36,0,0
09:40,0,0
09:45,0,0
09:50,0,0
09:55,0,0
09:58,0,0
10:02,0,0
10:07,0,0
10:10,0,0
10:14,0,0
10:19,0,0
10:22,0,0
10:26,0,0
10:31,0,0
10:34,0,0
10:39,0,0
10:45,0,0
10:51,0,0
10:57,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:42,0,0
14:46,0,0
14:51,0,0
14:53,0,0
14:58,0,0
15:00,0,0
15:05,0,0
15:07,0,0
15:12,0,0
15:14,0,0
15:19,0,0
15:21,0,0
15:26,0,0
15:28,0,0
15:33,0,0
15:35,0,0
15:40,0,0
15:42,0,0
15:47,0,0
15:49,0,0
15:54,0,0
15:56,0,0
16:00,0,0
16:03,0,0
16:07,0,0
16:10,0,0
16:14,0,0
16:17,0,0
16:21,0,0
16:23,0,0
16:28,0,0
16:32,0,0
16:36,0,0
16:39,0,0
16:43,0,0
16:46,0,0
16:50,0,0
16:53,0,0
16:57,0,0
17:00,0,0
17:03,0,0
17:07,0,0
17:11,0,0
17:14,0,0
17:18,0,0
17:21,0,0
17:25,0,0
17:28,0,0
17:31,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:53,0,0
18:57,0,0
19:00,0,0
19:04,0,0
19:07,0,0
19:10,0,0
19:13,0,0
19:18,0,0
19:20,0,0
19:25,0,0
19:27,0,0
19:32,0,0
19:34,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:49,0,0
19:51,0,0
19:56,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:12,0,0
20:17,0,0
20:19,0,0
20:22,0,0
20:27,0,0
20:31,0,0
20:33,0,0
20:38,0,0
20:40,0,0
20:43,0,0
20:48,0,0
20:51,0,0
20:55,0,0
20:58,0,0
21:02,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:34,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:39,0,0
22:45,0,0
22:52,0,0
22:59,0,0
23:06,0,0
23:13,0,0
23:21,0,0
