时间,是否始发站,是否终到站
05:34,0,1
05:44,0,1
05:55,0,1
06:01,0,1
06:06,0,1
06:11,0,1
06:16,0,1
06:21,0,1
06:26,0,1
06:31,0,1
06:34,0,1
06:39,0,1
06:43,0,1
06:45,0,1
06:47,0,1
06:49,0,1
06:51,0,1
06:53,0,1
06:55,0,1
06:57,0,1
06:59,0,1
07:01,0,1
07:03,0,1
07:05,0,1
07:07,0,1
07:09,0,1
07:11,0,1
07:13,0,1
07:15,0,1
07:17,0,1
07:19,0,1
07:21,0,1
07:23,0,1
07:25,0,1
07:27,0,1
07:29,0,1
07:31,0,1
07:33,0,1
07:35,0,1
07:37,0,1
07:39,0,1
07:41,0,1
07:43,0,1
07:45,0,1
07:47,0,1
07:50,0,1
07:52,0,1
07:55,0,1
07:57,0,1
07:59,0,1
08:02,0,1
08:04,0,1
08:07,0,1
08:09,0,1
08:11,0,1
08:14,0,1
08:16,0,1
08:19,0,1
08:21,0,1
08:23,0,1
08:25,0,1
08:29,0,1
08:31,0,1
08:33,0,1
08:35,0,1
08:37,0,1
08:41,0,1
08:43,0,1
08:45,0,1
08:47,0,1
08:50,0,1
08:53,0,1
08:55,0,1
08:58,0,1
09:00,0,1
09:03,0,1
09:05,0,1
09:07,0,1
09:10,0,1
09:12,0,1
09:15,0,1
09:17,0,1
09:19,0,1
09:21,0,1
09:23,0,1
09:25,0,1
09:27,0,1
09:29,0,1
09:31,0,1
09:33,0,1
09:35,0,1
09:37,0,1
09:39,0,1
09:41,0,1
09:43,0,1
09:45,0,1
09:47,0,1
09:49,0,1
09:51,0,1
09:54,0,1
09:56,0,1
09:58,0,1
10:00,0,1
10:02,0,1
10:05,0,1
10:07,0,1
10:10,0,1
10:13,0,1
10:15,0,1
10:18,0,1
10:21,0,1
10:23,0,1
10:27,0,1
10:32,0,1
10:37,0,1
10:41,0,1
10:46,0,1
10:51,0,1
10:56,0,1
10:59,0,1
11:03,0,1
11:08,0,1
11:11,0,1
11:15,0,1
11:20,0,1
11:23,0,1
11:27,0,1
11:32,0,1
11:35,0,1
11:40,0,1
11:44,0,1
11:50,0,1
11:56,0,1
12:02,0,1
12:08,0,1
12:14,0,1
12:20,0,1
12:26,0,1
12:32,0,1
12:38,0,1
12:44,0,1
12:50,0,1
12:56,0,1
13:02,0,1
13:08,0,1
13:14,0,1
13:20,0,1
13:26,0,1
13:32,0,1
13:38,0,1
13:44,0,1
13:50,0,1
13:56,0,1
14:02,0,1
14:08,0,1
14:14,0,1
14:20,0,1
14:26,0,1
14:32,0,1
14:38,0,1
14:44,0,1
14:50,0,1
14:56,0,1
15:02,0,1
15:08,0,1
15:14,0,1
15:20,0,1
15:26,0,1
15:32,0,1
15:38,0,1
15:42,0,1
15:47,0,1
15:51,0,1
15:54,0,1
15:58,0,1
16:01,0,1
16:05,0,1
16:08,0,1
16:12,0,1
16:15,0,1
16:19,0,1
16:22,0,1
16:26,0,1
16:29,0,1
16:33,0,1
16:36,0,1
16:40,0,1
16:43,0,1
16:47,0,1
16:50,0,1
16:54,0,1
16:56,0,1
17:00,0,1
17:03,0,1
17:07,0,1
17:10,0,1
17:14,0,1
17:17,0,1
17:22,0,1
17:24,0,1
17:27,0,1
17:30,0,1
17:32,0,1
17:35,0,1
17:37,0,1
17:39,0,1
17:42,0,1
17:44,0,1
17:46,0,1
17:49,0,1
17:51,0,1
17:53,0,1
17:56,0,1
17:58,0,1
18:00,0,1
18:03,0,1
18:05,0,1
18:07,0,1
18:10,0,1
18:12,0,1
18:14,0,1
18:17,0,1
18:19,0,1
18:21,0,1
18:24,0,1
18:26,0,1
18:28,0,1
18:31,0,1
18:33,0,1
18:35,0,1
18:38,0,1
18:40,0,1
18:42,0,1
18:45,0,1
18:47,0,1
18:49,0,1
18:52,0,1
18:54,0,1
18:56,0,1
18:59,0,1
19:01,0,1
19:03,0,1
19:06,0,1
19:08,0,1
19:10,0,1
19:13,0,1
19:15,0,1
19:17,0,1
19:20,0,1
19:22,0,1
19:24,0,1
19:27,0,1
19:29,0,1
19:31,0,1
19:34,0,1
19:36,0,1
19:39,0,1
19:41,0,1
19:43,0,1
19:45,0,1
19:48,0,1
19:50,0,1
19:53,0,1
19:57,0,1
20:00,0,1
20:04,0,1
20:08,0,1
20:11,0,1
20:15,0,1
20:18,0,1
20:22,0,1
20:25,0,1
20:29,0,1
20:32,0,1
20:36,0,1
20:40,0,1
20:43,0,1
20:46,0,1
20:49,0,1
20:51,0,1
20:56,0,1
20:59,0,1
21:02,0,1
21:06,0,1
21:09,0,1
21:13,0,1
21:17,0,1
21:19,0,1
21:23,0,1
21:27,0,1
21:31,0,1
21:33,0,1
21:38,0,1
21:40,0,1
21:44,0,1
21:48,0,1
21:51,0,1
21:55,0,1
21:58,0,1
22:02,0,1
22:05,0,1
22:11,0,1
22:17,0,1
22:23,0,1
22:29,0,1
22:34,0,1
22:41,0,1
22:47,0,1
22:53,0,1
22:59,0,1
23:05,0,1
23:12,0,1
23:19,0,1
23:26,0,1
23:33,0,1
23:39,0,1
23:45,0,1
23:52,0,1
23:59,0,1
00:06,0,1
00:13,0,1
00:20,0,1
