时间,是否始发站,是否终到站
04:56,1,0
05:07,0,0
05:12,1,0
05:17,0,0
05:22,1,0
05:27,0,0
05:32,0,0
05:37,0,0
05:42,1,0
05:46,0,0
05:51,1,0
05:55,1,0
05:57,0,0
05:59,1,0
06:01,0,0
06:03,1,0
06:05,0,0
06:07,0,0
06:09,1,0
06:11,0,0
06:13,1,0
06:15,0,0
06:17,1,0
06:19,0,0
06:21,0,0
06:23,1,0
06:25,0,0
06:27,1,0
06:29,0,0
06:31,1,0
06:33,0,0
06:35,1,0
06:37,0,0
06:39,1,0
06:41,0,0
06:43,1,0
06:45,0,0
06:47,1,0
06:49,0,0
06:51,1,0
06:53,0,0
06:55,1,0
06:57,0,0
06:59,1,0
07:01,0,0
07:04,1,0
07:06,0,0
07:09,1,0
07:11,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:21,1,0
07:23,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,1,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:32,0,0
09:34,0,0
09:38,0,0
09:43,0,0
09:48,0,0
09:52,0,0
09:57,0,0
10:02,0,0
10:07,0,0
10:10,0,0
10:14,0,0
10:19,0,0
10:22,0,0
10:26,0,0
10:31,0,0
10:34,0,0
10:38,0,0
10:43,0,0
10:46,0,0
10:51,0,0
10:56,0,0
11:02,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:53,0,0
14:58,0,0
15:02,0,0
15:05,0,0
15:09,0,0
15:12,0,0
15:16,0,0
15:19,0,0
15:23,0,0
15:26,0,0
15:30,0,0
15:33,0,0
15:37,0,0
15:40,0,0
15:44,0,0
15:47,0,0
15:51,0,0
15:54,0,0
15:58,0,0
16:01,0,0
16:05,0,0
16:07,0,0
16:11,0,0
16:14,0,0
16:18,0,0
16:21,0,0
16:25,0,0
16:28,0,0
16:33,0,0
16:35,0,0
16:38,1,0
16:40,0,0
16:43,0,0
16:46,1,0
16:48,0,0
16:50,0,0
16:53,1,0
16:55,0,0
16:57,0,0
17:00,1,0
17:02,0,0
17:04,0,0
17:07,1,0
17:09,0,0
17:11,0,0
17:14,1,0
17:16,0,0
17:18,0,0
17:21,1,0
17:23,0,0
17:25,0,0
17:28,1,0
17:30,0,0
17:32,0,0
17:35,1,0
17:37,0,0
17:39,0,0
17:42,1,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:05,0,0
19:08,0,0
19:11,0,0
19:15,0,0
19:19,0,0
19:22,0,0
19:26,0,0
19:29,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:54,0,0
19:57,0,0
20:00,0,0
20:02,0,0
20:07,0,0
20:10,0,0
20:13,0,0
20:17,0,0
20:20,0,0
20:24,0,0
20:28,0,0
20:30,0,0
20:34,0,0
20:38,0,0
20:42,0,0
20:44,0,0
20:49,0,0
20:51,0,0
20:55,0,0
20:59,0,0
21:02,0,0
21:06,0,0
21:09,0,0
21:13,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:45,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:50,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:32,0,0
