时间,是否始发站,是否终到站
05:04,1,0
05:14,1,0
05:24,1,0
05:29,1,0
05:33,1,0
05:43,0,0
05:53,0,0
05:57,0,0
06:01,0,0
06:03,0,0
06:07,0,0
06:11,0,0
06:15,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:29,0,0
06:33,0,0
06:37,0,0
06:41,0,0
06:45,0,0
06:49,0,0
06:53,0,0
06:58,0,0
07:03,0,0
07:07,0,0
07:10,0,0
07:12,0,0
07:15,0,0
07:19,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:21,0,0
09:23,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:49,0,0
09:54,0,0
09:59,0,0
10:04,0,0
10:07,0,0
10:11,0,0
10:16,0,0
10:18,0,0
10:23,0,0
10:28,0,0
10:31,0,0
10:35,0,0
10:40,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:50,0,0
14:54,0,0
14:59,0,0
15:01,0,0
15:06,0,0
15:08,0,0
15:13,0,0
15:15,0,0
15:20,0,0
15:22,0,0
15:27,0,0
15:29,0,0
15:34,0,0
15:36,0,0
15:41,0,0
15:43,0,0
15:48,0,0
15:50,0,0
15:55,0,0
15:57,0,0
16:02,0,0
16:04,0,0
16:08,0,0
16:11,0,0
16:15,0,0
16:18,0,0
16:22,0,0
16:25,0,0
16:29,0,0
16:31,0,0
16:37,0,0
16:40,0,0
16:45,0,0
16:47,0,0
16:52,0,0
16:54,0,0
16:59,0,0
17:01,0,0
17:06,0,0
17:08,0,0
17:13,0,0
17:15,0,0
17:20,0,0
17:22,0,0
17:27,0,0
17:29,0,0
17:34,0,0
17:36,0,0
17:41,0,0
17:43,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:05,0,0
19:08,0,0
19:12,0,0
19:15,0,0
19:19,0,0
19:22,0,0
19:26,0,0
19:29,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:43,0,0
19:47,0,0
19:50,0,0
19:54,0,0
19:57,0,0
19:59,0,0
20:04,0,0
20:06,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:25,0,0
20:27,0,0
20:30,0,0
20:35,0,0
20:39,0,0
20:41,0,0
20:46,0,0
20:48,0,0
20:51,0,0
20:56,0,0
20:59,0,0
21:03,0,0
21:06,0,0
21:10,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:42,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:20,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:47,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:29,0,0
