时间,是否始发站,是否终到站
05:01,0,0
05:13,0,0
05:18,0,0
05:23,0,0
05:28,0,0
05:33,0,0
05:38,0,0
05:43,0,0
05:48,0,0
05:51,0,0
05:56,0,0
06:00,0,0
06:02,0,0
06:04,0,0
06:06,0,0
06:08,0,0
06:10,0,0
06:12,0,0
06:14,0,0
06:16,0,0
06:18,0,0
06:20,0,0
06:22,0,0
06:24,0,0
06:26,0,0
06:28,0,0
06:30,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:30,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:40,0,0
09:44,0,0
09:49,0,0
09:54,0,0
09:58,0,0
10:03,0,0
10:08,0,0
10:13,0,0
10:16,0,0
10:20,0,0
10:25,0,0
10:28,0,0
10:32,0,0
10:37,0,0
10:40,0,0
10:44,0,0
10:49,0,0
10:52,0,0
10:57,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
14:58,0,0
15:03,0,0
15:08,0,0
15:10,0,0
15:15,0,0
15:17,0,0
15:22,0,0
15:24,0,0
15:29,0,0
15:31,0,0
15:36,0,0
15:38,0,0
15:43,0,0
15:45,0,0
15:50,0,0
15:52,0,0
15:57,0,0
15:59,0,0
16:04,0,0
16:06,0,0
16:10,0,0
16:12,0,0
16:17,0,0
16:20,0,0
16:24,0,0
16:27,0,0
16:31,0,0
16:34,0,0
16:38,0,0
16:40,0,0
16:44,0,0
16:46,0,0
16:49,0,0
16:51,0,0
16:53,0,0
16:56,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:10,0,0
19:13,0,0
19:17,0,0
19:21,0,0
19:24,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:38,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:52,0,0
19:56,0,0
19:59,0,0
20:03,0,0
20:06,0,0
20:08,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:33,0,0
20:36,0,0
20:39,0,0
20:44,0,0
20:47,0,0
20:50,0,0
20:54,0,0
20:57,0,0
21:00,0,0
21:05,0,0
21:08,0,0
21:12,0,0
21:14,0,0
21:19,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:46,0,0
21:50,0,0
21:57,0,0
22:04,0,0
22:09,0,0
22:15,0,0
22:22,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:16,0,0
23:23,0,0
23:30,0,0
23:37,0,0
