时间,是否始发站,是否终到站
05:15,0,0
05:25,1,0
05:29,0,0
05:33,1,0
05:35,0,0
05:39,1,0
05:43,1,0
05:47,1,0
05:49,0,0
05:53,1,0
05:57,0,0
06:01,0,0
06:05,1,0
06:09,0,0
06:13,0,0
06:17,1,0
06:21,0,0
06:25,0,0
06:29,1,0
06:34,0,0
06:39,0,0
06:41,1,0
06:44,0,0
06:46,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:58,1,0
07:01,0,0
07:03,1,0
07:05,0,0
07:08,0,0
07:11,0,0
07:13,0,0
07:15,1,0
07:17,0,0
07:19,1,0
07:21,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,1,0
07:34,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:45,0,0
07:47,0,0
07:49,1,0
07:51,0,0
07:53,1,0
07:57,0,0
07:59,0,0
08:01,1,0
08:03,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:23,1,0
08:25,0,0
08:27,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:42,0,0
08:46,0,0
08:49,0,0
08:52,0,0
08:57,0,0
09:00,0,0
09:02,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:38,0,0
09:42,0,0
09:47,0,0
09:50,0,0
09:54,0,0
09:59,0,0
10:02,0,0
10:06,0,0
10:11,0,0
10:14,0,0
10:19,0,0
10:25,0,0
10:31,0,0
10:37,0,0
10:43,0,0
10:49,0,0
10:55,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:22,1,0
14:27,0,0
14:32,0,0
14:34,1,0
14:39,0,0
14:41,1,0
14:46,0,0
14:48,1,0
14:53,0,0
14:55,1,0
15:00,0,0
15:02,0,0
15:07,0,0
15:09,1,0
15:14,0,0
15:16,1,0
15:21,0,0
15:23,1,0
15:28,0,0
15:30,1,0
15:34,0,0
15:36,1,0
15:41,0,0
15:44,0,0
15:48,0,0
15:51,1,0
15:55,0,0
15:58,1,0
16:02,0,0
16:04,1,0
16:08,0,0
16:13,1,0
16:16,0,0
16:20,0,0
16:23,0,0
16:27,1,0
16:30,0,0
16:34,1,0
16:37,0,0
16:41,1,0
16:44,0,0
16:48,1,0
16:51,0,0
16:55,0,0
16:58,1,0
17:02,0,0
17:05,0,0
17:09,1,0
17:12,0,0
17:16,1,0
17:18,0,0
17:20,1,0
17:23,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:05,0,0
18:07,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:20,0,0
18:23,0,0
18:26,0,0
18:30,0,0
18:34,0,0
18:41,0,0
18:45,0,0
18:50,0,0
18:54,0,0
18:59,0,0
19:01,0,0
19:05,0,0
19:08,0,0
19:13,0,0
19:15,0,0
19:20,0,0
19:22,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:35,0,0
19:37,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:51,0,0
19:56,0,0
19:58,0,0
20:01,0,0
20:06,0,0
20:10,0,0
20:12,0,0
20:17,0,0
20:19,0,0
20:22,0,0
20:27,0,0
20:30,0,0
20:34,0,0
20:37,0,0
20:41,0,0
20:44,0,0
20:50,0,0
20:56,0,0
21:02,0,0
21:08,0,0
21:13,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:51,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:31,0,0
22:38,0,0
22:45,0,0
22:52,0,0
23:00,0,0
