时间,是否始发站,是否终到站
05:08,1,0
05:19,0,0
05:30,0,0
05:36,0,0
05:41,0,0
05:46,0,0
05:51,0,0
05:56,0,0
06:01,0,0
06:06,0,0
06:09,0,0
06:14,0,0
06:18,0,0
06:20,0,0
06:22,0,0
06:24,0,0
06:26,0,0
06:28,0,0
06:30,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:40,0,0
09:42,0,0
09:45,0,0
09:48,0,0
09:50,0,0
09:53,0,0
09:56,0,0
09:58,0,0
10:02,0,0
10:07,0,0
10:12,0,0
10:16,0,0
10:21,0,0
10:26,0,0
10:31,0,0
10:34,0,0
10:38,0,0
10:43,0,0
10:46,0,0
10:50,0,0
10:55,0,0
10:58,0,0
11:02,0,0
11:07,0,0
11:10,0,0
11:15,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:07,0,0
15:13,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:28,0,0
15:33,0,0
15:35,0,0
15:40,0,0
15:42,0,0
15:47,0,0
15:49,0,0
15:54,0,0
15:56,0,0
16:01,0,0
16:03,0,0
16:08,0,0
16:10,0,0
16:15,0,0
16:17,0,0
16:22,0,0
16:24,0,0
16:28,0,0
16:30,0,0
16:35,0,0
16:38,0,0
16:42,0,0
16:45,0,0
16:49,0,0
16:52,0,0
16:56,0,0
16:58,0,0
17:02,0,0
17:04,0,0
17:07,0,0
17:09,0,0
17:11,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:21,0,0
17:23,0,0
17:25,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:52,0,0
19:56,0,0
19:59,0,0
20:03,0,0
20:06,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:23,0,0
20:26,0,0
20:30,0,0
20:33,0,0
20:36,0,0
20:41,0,0
20:44,0,0
20:47,0,0
20:51,0,0
20:53,0,0
20:57,0,0
21:02,0,0
21:05,0,0
21:07,0,0
21:12,0,0
21:14,0,0
21:18,0,0
21:23,0,0
21:25,0,0
21:30,0,0
21:32,0,0
21:37,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:04,0,0
22:08,0,0
22:15,0,0
22:22,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:41,0,0
23:48,0,0
23:55,0,0
