时间,是否始发站,是否终到站
04:59,0,0
05:10,0,0
05:15,0,0
05:20,0,0
05:25,0,0
05:30,0,0
05:35,0,0
05:40,0,0
05:45,0,0
05:49,0,0
05:54,0,0
05:58,0,0
06:00,0,0
06:02,0,0
06:04,0,0
06:06,0,0
06:08,0,0
06:10,0,0
06:12,0,0
06:14,0,0
06:16,0,0
06:18,0,0
06:20,0,0
06:22,0,0
06:24,0,0
06:26,0,0
06:28,0,0
06:30,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:35,0,0
09:37,0,0
09:41,0,0
09:46,0,0
09:51,0,0
09:55,0,0
10:00,0,0
10:05,0,0
10:10,0,0
10:13,0,0
10:17,0,0
10:22,0,0
10:25,0,0
10:29,0,0
10:34,0,0
10:37,0,0
10:41,0,0
10:46,0,0
10:49,0,0
10:54,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:56,0,0
15:00,0,0
15:05,0,0
15:07,0,0
15:12,0,0
15:14,0,0
15:19,0,0
15:21,0,0
15:26,0,0
15:28,0,0
15:33,0,0
15:35,0,0
15:40,0,0
15:42,0,0
15:47,0,0
15:49,0,0
15:54,0,0
15:56,0,0
16:01,0,0
16:03,0,0
16:08,0,0
16:10,0,0
16:14,0,0
16:17,0,0
16:21,0,0
16:24,0,0
16:28,0,0
16:31,0,0
16:35,0,0
16:37,0,0
16:41,0,0
16:44,0,0
16:46,0,0
16:49,0,0
16:51,0,0
16:53,0,0
16:56,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:11,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:32,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:54,0,0
19:57,0,0
20:00,0,0
20:03,0,0
20:05,0,0
20:10,0,0
20:13,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:27,0,0
20:31,0,0
20:33,0,0
20:37,0,0
20:41,0,0
20:45,0,0
20:47,0,0
20:52,0,0
20:54,0,0
20:58,0,0
21:02,0,0
21:05,0,0
21:09,0,0
21:12,0,0
21:16,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:48,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:53,0,0
22:59,0,0
23:06,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:35,0,0
