时间,是否始发站,是否终到站
05:12,0,0
05:24,0,0
05:29,0,0
05:34,0,0
05:39,0,0
05:44,0,0
05:49,0,0
05:54,0,0
05:59,0,0
06:02,0,0
06:08,0,0
06:12,0,0
06:14,0,0
06:16,0,0
06:18,0,0
06:20,0,0
06:22,0,0
06:24,0,0
06:26,0,0
06:28,0,0
06:30,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:21,0,0
07:23,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:31,0,0
09:33,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:55,0,0
10:00,0,0
10:05,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:27,0,0
10:31,0,0
10:36,0,0
10:39,0,0
10:43,0,0
10:48,0,0
10:51,0,0
10:55,0,0
11:00,0,0
11:03,0,0
11:08,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:09,0,0
15:14,0,0
15:19,0,0
15:21,0,0
15:26,0,0
15:28,0,0
15:33,0,0
15:35,0,0
15:40,0,0
15:42,0,0
15:47,0,0
15:49,0,0
15:54,0,0
15:56,0,0
16:01,0,0
16:03,0,0
16:08,0,0
16:10,0,0
16:15,0,0
16:17,0,0
16:21,0,0
16:23,0,0
16:28,0,0
16:31,0,0
16:35,0,0
16:38,0,0
16:42,0,0
16:45,0,0
16:49,0,0
16:51,0,0
16:55,0,0
16:57,0,0
17:00,0,0
17:02,0,0
17:04,0,0
17:07,0,0
17:09,0,0
17:11,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:21,0,0
17:23,0,0
17:25,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:21,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:35,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:49,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:10,0,0
20:14,0,0
20:16,0,0
20:19,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:34,0,0
20:37,0,0
20:40,0,0
20:44,0,0
20:47,0,0
20:50,0,0
20:55,0,0
20:58,0,0
21:01,0,0
21:05,0,0
21:08,0,0
21:11,0,0
21:16,0,0
21:19,0,0
21:23,0,0
21:25,0,0
21:30,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:57,0,0
22:01,0,0
22:08,0,0
22:15,0,0
22:20,0,0
22:26,0,0
22:33,0,0
22:39,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:06,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:41,0,0
23:48,0,0
