时间,是否始发站,是否终到站
05:14,0,0
05:26,0,0
05:31,0,0
05:36,0,0
05:41,0,0
05:46,0,0
05:51,0,0
05:56,0,0
06:01,0,0
06:04,0,0
06:10,0,0
06:14,0,0
06:16,0,0
06:18,0,0
06:20,0,0
06:22,0,0
06:24,0,0
06:26,0,0
06:28,0,0
06:30,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:33,0,0
09:35,0,0
09:38,0,0
09:40,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:51,0,0
09:53,0,0
09:57,0,0
10:02,0,0
10:07,0,0
10:11,0,0
10:16,0,0
10:21,0,0
10:26,0,0
10:29,0,0
10:33,0,0
10:38,0,0
10:41,0,0
10:45,0,0
10:50,0,0
10:53,0,0
10:57,0,0
11:02,0,0
11:05,0,0
11:10,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:23,0,0
15:28,0,0
15:30,0,0
15:35,0,0
15:37,0,0
15:42,0,0
15:44,0,0
15:49,0,0
15:51,0,0
15:56,0,0
15:58,0,0
16:03,0,0
16:05,0,0
16:10,0,0
16:12,0,0
16:17,0,0
16:19,0,0
16:23,0,0
16:25,0,0
16:30,0,0
16:33,0,0
16:37,0,0
16:40,0,0
16:44,0,0
16:47,0,0
16:51,0,0
16:53,0,0
16:57,0,0
16:59,0,0
17:02,0,0
17:04,0,0
17:06,0,0
17:09,0,0
17:11,0,0
17:13,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:23,0,0
19:26,0,0
19:30,0,0
19:34,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:47,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:09,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:21,0,0
20:25,0,0
20:28,0,0
20:31,0,0
20:36,0,0
20:39,0,0
20:42,0,0
20:46,0,0
20:48,0,0
20:52,0,0
20:57,0,0
21:00,0,0
21:02,0,0
21:07,0,0
21:09,0,0
21:13,0,0
21:18,0,0
21:20,0,0
21:25,0,0
21:27,0,0
21:32,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:59,0,0
22:03,0,0
22:10,0,0
22:17,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
23:43,0,0
23:50,0,0
