时间,是否始发站,是否终到站
05:06,0,0
05:17,0,0
05:23,0,0
05:28,0,0
05:33,0,0
05:38,0,0
05:42,0,0
05:48,0,0
05:53,0,0
05:56,0,0
06:01,0,0
06:05,0,0
06:07,0,0
06:09,0,0
06:11,0,0
06:13,0,0
06:15,0,0
06:17,0,0
06:19,0,0
06:21,0,0
06:23,0,0
06:25,0,0
06:27,0,0
06:29,0,0
06:31,0,0
06:33,0,0
06:35,0,0
06:37,0,0
06:39,0,0
06:41,0,0
06:43,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:51,0,0
06:53,0,0
06:55,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:36,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:45,0,0
09:49,0,0
09:54,0,0
09:59,0,0
10:03,0,0
10:08,0,0
10:13,0,0
10:18,0,0
10:21,0,0
10:25,0,0
10:30,0,0
10:32,0,0
10:37,0,0
10:42,0,0
10:45,0,0
10:49,0,0
10:54,0,0
10:57,0,0
11:02,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:03,0,0
15:08,0,0
15:12,0,0
15:15,0,0
15:19,0,0
15:22,0,0
15:26,0,0
15:29,0,0
15:33,0,0
15:36,0,0
15:40,0,0
15:43,0,0
15:47,0,0
15:50,0,0
15:54,0,0
15:57,0,0
16:01,0,0
16:04,0,0
16:08,0,0
16:11,0,0
16:15,0,0
16:17,0,0
16:21,0,0
16:24,0,0
16:28,0,0
16:31,0,0
16:35,0,0
16:38,0,0
16:43,0,0
16:45,0,0
16:48,0,0
16:51,0,0
16:53,0,0
16:56,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:18,0,0
19:21,0,0
19:25,0,0
19:29,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:10,0,0
20:12,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:27,0,0
20:30,0,0
20:33,0,0
20:37,0,0
20:40,0,0
20:43,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:58,0,0
21:01,0,0
21:04,0,0
21:09,0,0
21:12,0,0
21:16,0,0
21:18,0,0
21:23,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:50,0,0
21:54,0,0
22:01,0,0
22:08,0,0
22:13,0,0
22:19,0,0
22:26,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:53,0,0
22:59,0,0
23:06,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:41,0,0
