时间,是否始发站,是否终到站
05:03,0,0
05:15,0,0
05:20,0,0
05:25,0,0
05:30,0,0
05:35,0,0
05:40,0,0
05:45,0,0
05:50,0,0
05:53,0,0
05:59,0,0
06:03,0,0
06:05,0,0
06:07,0,0
06:09,0,0
06:11,0,0
06:13,0,0
06:15,0,0
06:17,0,0
06:19,0,0
06:21,0,0
06:23,0,0
06:25,0,0
06:27,0,0
06:29,0,0
06:31,0,0
06:33,0,0
06:35,0,0
06:37,0,0
06:39,0,0
06:41,0,0
06:43,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:51,0,0
06:53,0,0
06:55,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:42,0,0
09:46,0,0
09:51,0,0
09:56,0,0
10:00,0,0
10:05,0,0
10:10,0,0
10:15,0,0
10:18,0,0
10:22,0,0
10:27,0,0
10:30,0,0
10:34,0,0
10:39,0,0
10:42,0,0
10:46,0,0
10:51,0,0
10:54,0,0
10:59,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:00,0,0
15:05,0,0
15:10,0,0
15:12,0,0
15:17,0,0
15:19,0,0
15:24,0,0
15:26,0,0
15:31,0,0
15:33,0,0
15:38,0,0
15:40,0,0
15:45,0,0
15:47,0,0
15:52,0,0
15:54,0,0
15:59,0,0
16:01,0,0
16:06,0,0
16:08,0,0
16:12,0,0
16:14,0,0
16:19,0,0
16:22,0,0
16:26,0,0
16:29,0,0
16:33,0,0
16:36,0,0
16:40,0,0
16:42,0,0
16:46,0,0
16:48,0,0
16:51,0,0
16:53,0,0
16:55,0,0
16:58,0,0
17:00,0,0
17:02,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:12,0,0
19:15,0,0
19:19,0,0
19:23,0,0
19:26,0,0
19:30,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:47,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:25,0,0
20:28,0,0
20:31,0,0
20:35,0,0
20:38,0,0
20:41,0,0
20:46,0,0
20:49,0,0
20:52,0,0
20:56,0,0
20:59,0,0
21:02,0,0
21:07,0,0
21:10,0,0
21:14,0,0
21:16,0,0
21:21,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:48,0,0
21:52,0,0
21:59,0,0
22:06,0,0
22:11,0,0
22:17,0,0
22:24,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:57,0,0
23:04,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
23:39,0,0
