时间,是否始发站,是否终到站
05:09,1,0
05:18,1,0
05:28,1,0
05:36,1,0
05:42,1,0
05:50,1,0
05:58,1,0
06:06,1,0
06:14,1,0
06:18,1,0
06:28,1,0
06:32,1,0
06:37,1,0
06:40,1,0
06:43,1,0
06:47,1,0
06:49,1,0
06:54,1,0
06:58,1,0
07:01,1,0
07:04,1,0
07:06,1,0
07:10,1,0
07:14,1,0
07:18,1,0
07:20,1,0
07:22,1,0
07:27,1,0
07:30,1,0
07:32,1,0
07:34,1,0
07:38,1,0
07:40,1,0
07:44,1,0
07:49,1,0
07:52,1,0
07:56,1,0
08:00,1,0
08:02,1,0
08:04,1,0
08:08,1,0
08:10,1,0
08:12,1,0
08:18,1,0
08:20,1,0
08:23,1,0
08:27,1,0
08:29,1,0
08:32,1,0
08:35,1,0
08:39,1,0
08:43,1,0
08:46,1,0
08:51,1,0
08:54,1,0
08:56,1,0
09:00,1,0
09:05,1,0
09:10,1,0
09:14,1,0
09:19,1,0
09:24,1,0
09:29,1,0
09:32,1,0
09:36,1,0
09:41,1,0
09:44,1,0
09:48,1,0
09:53,1,0
09:56,1,0
10:00,1,0
10:05,1,0
10:08,1,0
10:13,1,0
10:19,1,0
10:25,1,0
10:31,1,0
10:37,1,0
10:43,1,0
10:49,1,0
10:55,1,0
11:01,1,0
11:07,1,0
11:13,1,0
11:19,1,0
11:25,1,0
11:31,1,0
11:37,1,0
11:43,1,0
11:49,1,0
11:55,1,0
12:01,1,0
12:07,1,0
12:13,1,0
12:19,1,0
12:25,1,0
12:31,1,0
12:37,1,0
12:43,1,0
12:49,1,0
12:55,1,0
13:01,1,0
13:07,1,0
13:13,1,0
13:19,1,0
13:25,1,0
13:31,1,0
13:37,1,0
13:43,1,0
13:49,1,0
13:55,1,0
14:01,1,0
14:07,1,0
14:13,1,0
14:21,1,0
14:25,1,0
14:32,1,0
14:39,1,0
14:46,1,0
14:53,1,0
14:56,1,0
15:00,1,0
15:07,1,0
15:14,1,0
15:21,1,0
15:28,1,0
15:34,1,0
15:37,1,0
15:41,1,0
15:48,1,0
15:56,1,0
16:02,1,0
16:10,1,0
16:13,1,0
16:17,1,0
16:24,1,0
16:31,1,0
16:38,1,0
16:45,1,0
16:48,1,0
16:55,1,0
16:59,1,0
17:06,1,0
17:12,1,0
17:16,1,0
17:19,1,0
17:21,1,0
17:23,1,0
17:26,1,0
17:28,1,0
17:30,1,0
17:33,1,0
17:35,1,0
17:37,1,0
17:40,1,0
17:42,1,0
17:44,1,0
17:47,1,0
17:49,1,0
17:51,1,0
17:54,1,0
17:56,1,0
17:58,1,0
18:01,1,0
18:05,1,0
18:08,1,0
18:10,1,0
18:14,1,0
18:17,1,0
18:19,1,0
18:24,1,0
18:28,1,0
18:34,1,0
18:38,1,0
18:45,1,0
18:49,1,0
18:52,1,0
18:56,1,0
18:59,1,0
19:03,1,0
19:06,1,0
19:10,1,0
19:14,1,0
19:17,1,0
19:20,1,0
19:23,1,0
19:25,1,0
19:30,1,0
19:33,1,0
19:36,1,0
19:40,1,0
19:43,1,0
19:47,1,0
19:51,1,0
19:53,1,0
19:57,1,0
20:01,1,0
20:05,1,0
20:07,1,0
20:12,1,0
20:14,1,0
20:18,1,0
20:22,1,0
20:25,1,0
20:29,1,0
20:32,1,0
20:36,1,0
20:39,1,0
20:45,1,0
20:51,1,0
20:57,1,0
21:03,1,0
21:08,1,0
21:15,1,0
21:21,1,0
21:27,1,0
21:33,1,0
21:39,1,0
21:48,1,0
21:53,1,0
22:00,1,0
22:07,1,0
22:13,1,0
22:19,1,0
22:26,1,0
22:33,1,0
22:40,1,0
22:47,1,0
22:55,1,0
