时间,是否始发站,是否终到站
05:32,0,0
05:42,0,0
05:46,0,0
05:50,0,0
05:52,0,0
05:56,0,0
06:00,0,0
06:04,0,0
06:06,0,0
06:10,0,0
06:14,0,0
06:18,0,0
06:22,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:51,0,0
06:56,0,0
06:58,0,0
07:01,0,0
07:03,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:15,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:01,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:23,0,0
09:28,0,0
09:33,0,0
09:37,0,0
09:42,0,0
09:47,0,0
09:52,0,0
09:55,0,0
09:59,0,0
10:04,0,0
10:07,0,0
10:11,0,0
10:16,0,0
10:19,0,0
10:23,0,0
10:28,0,0
10:31,0,0
10:36,0,0
10:42,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:39,0,0
14:43,0,0
14:48,0,0
14:50,0,0
14:55,0,0
14:57,0,0
15:02,0,0
15:04,0,0
15:09,0,0
15:11,0,0
15:16,0,0
15:18,0,0
15:23,0,0
15:25,0,0
15:30,0,0
15:32,0,0
15:37,0,0
15:39,0,0
15:44,0,0
15:46,0,0
15:51,0,0
15:53,0,0
15:57,0,0
16:00,0,0
16:04,0,0
16:07,0,0
16:11,0,0
16:14,0,0
16:18,0,0
16:20,0,0
16:25,0,0
16:29,0,0
16:33,0,0
16:36,0,0
16:40,0,0
16:43,0,0
16:47,0,0
16:50,0,0
16:54,0,0
16:57,0,0
17:01,0,0
17:04,0,0
17:08,0,0
17:11,0,0
17:15,0,0
17:18,0,0
17:22,0,0
17:25,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:50,0,0
18:54,0,0
18:57,0,0
19:01,0,0
19:04,0,0
19:07,0,0
19:11,0,0
19:15,0,0
19:18,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:32,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:46,0,0
19:48,0,0
19:53,0,0
19:55,0,0
19:59,0,0
20:03,0,0
20:06,0,0
20:09,0,0
20:14,0,0
20:16,0,0
20:19,0,0
20:24,0,0
20:28,0,0
20:30,0,0
20:35,0,0
20:37,0,0
20:40,0,0
20:45,0,0
20:48,0,0
20:52,0,0
20:55,0,0
20:59,0,0
21:02,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:31,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:09,0,0
22:16,0,0
22:23,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:49,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:18,0,0
