时间,是否始发站,是否终到站
05:12,0,0
05:21,0,0
05:31,0,0
05:39,0,0
05:45,0,0
05:53,0,0
06:01,0,0
06:09,0,0
06:17,0,0
06:21,0,0
06:31,0,0
06:35,0,0
06:40,0,0
06:43,0,0
06:46,0,0
06:50,0,0
06:52,0,0
06:57,0,0
07:01,0,0
07:04,0,0
07:07,0,0
07:09,0,0
07:13,0,0
07:17,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:41,0,0
07:43,0,0
07:47,0,0
07:52,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:21,0,0
08:23,0,0
08:26,0,0
08:30,0,0
08:32,0,0
08:36,0,0
08:38,0,0
08:42,0,0
08:46,0,0
08:49,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:03,0,0
09:08,0,0
09:13,0,0
09:17,0,0
09:22,0,0
09:27,0,0
09:32,0,0
09:35,0,0
09:39,0,0
09:44,0,0
09:47,0,0
09:51,0,0
09:56,0,0
09:59,0,0
10:03,0,0
10:08,0,0
10:11,0,0
10:16,0,0
10:22,0,0
10:28,0,0
10:34,0,0
10:40,0,0
10:46,0,0
10:52,0,0
10:58,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:24,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
14:59,0,0
15:03,0,0
15:10,0,0
15:17,0,0
15:24,0,0
15:31,0,0
15:37,0,0
15:40,0,0
15:44,0,0
15:51,0,0
15:59,0,0
16:05,0,0
16:13,0,0
16:16,0,0
16:20,0,0
16:27,0,0
16:34,0,0
16:41,0,0
16:48,0,0
16:51,0,0
16:58,0,0
17:02,0,0
17:09,0,0
17:15,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:27,0,0
18:31,0,0
18:37,0,0
18:41,0,0
18:48,0,0
18:52,0,0
18:55,0,0
18:59,0,0
19:02,0,0
19:06,0,0
19:09,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:26,0,0
19:28,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:54,0,0
19:56,0,0
20:00,0,0
20:04,0,0
20:08,0,0
20:10,0,0
20:15,0,0
20:17,0,0
20:21,0,0
20:25,0,0
20:28,0,0
20:32,0,0
20:35,0,0
20:39,0,0
20:42,0,0
20:48,0,0
20:54,0,0
21:00,0,0
21:06,0,0
21:11,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:49,0,0
21:56,0,0
22:03,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:58,0,0
