时间,是否始发站,是否终到站
05:17,0,0
05:28,0,0
05:33,0,0
05:38,0,0
05:43,0,0
05:48,0,0
05:53,0,0
05:58,0,0
06:03,0,0
06:07,0,0
06:12,0,0
06:16,0,0
06:18,0,0
06:20,0,0
06:22,0,0
06:24,0,0
06:26,0,0
06:28,0,0
06:30,0,0
06:32,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:35,0,0
09:37,0,0
09:40,0,0
09:42,0,0
09:45,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:55,0,0
09:59,0,0
10:04,0,0
10:09,0,0
10:13,0,0
10:18,0,0
10:23,0,0
10:28,0,0
10:31,0,0
10:35,0,0
10:40,0,0
10:43,0,0
10:47,0,0
10:52,0,0
10:55,0,0
11:00,0,0
11:04,0,0
11:07,0,0
11:12,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:13,0,0
15:18,0,0
15:23,0,0
15:25,0,0
15:30,0,0
15:32,0,0
15:37,0,0
15:39,0,0
15:44,0,0
15:46,0,0
15:51,0,0
15:53,0,0
15:58,0,0
16:00,0,0
16:05,0,0
16:07,0,0
16:12,0,0
16:14,0,0
16:19,0,0
16:21,0,0
16:25,0,0
16:27,0,0
16:32,0,0
16:35,0,0
16:39,0,0
16:42,0,0
16:46,0,0
16:49,0,0
16:53,0,0
16:55,0,0
16:59,0,0
17:01,0,0
17:04,0,0
17:06,0,0
17:09,0,0
17:11,0,0
17:13,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:22,0,0
19:25,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:57,0,0
20:00,0,0
20:04,0,0
20:07,0,0
20:11,0,0
20:14,0,0
20:18,0,0
20:21,0,0
20:23,0,0
20:27,0,0
20:30,0,0
20:33,0,0
20:38,0,0
20:41,0,0
20:44,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:59,0,0
21:02,0,0
21:05,0,0
21:09,0,0
21:12,0,0
21:15,0,0
21:20,0,0
21:23,0,0
21:27,0,0
21:29,0,0
21:34,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:54,0,0
22:01,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:24,0,0
22:30,0,0
22:37,0,0
22:43,0,0
22:50,0,0
22:57,0,0
23:04,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:38,0,0
23:45,0,0
23:53,0,0
