时间,是否始发站,是否终到站
05:26,0,0
05:36,0,0
05:40,0,0
05:44,0,0
05:46,0,0
05:50,0,0
05:54,0,0
05:58,0,0
06:00,0,0
06:04,0,0
06:08,0,0
06:12,0,0
06:16,0,0
06:20,0,0
06:24,0,0
06:28,0,0
06:32,0,0
06:36,0,0
06:40,0,0
06:45,0,0
06:50,0,0
06:52,0,0
06:55,0,0
06:57,0,0
07:01,0,0
07:04,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:53,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:23,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:39,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:58,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:08,0,0
09:11,0,0
09:13,0,0
09:17,0,0
09:22,0,0
09:27,0,0
09:31,0,0
09:36,0,0
09:41,0,0
09:46,0,0
09:49,0,0
09:53,0,0
09:58,0,0
10:01,0,0
10:05,0,0
10:10,0,0
10:13,0,0
10:17,0,0
10:22,0,0
10:25,0,0
10:30,0,0
10:36,0,0
10:42,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:33,0,0
14:38,0,0
14:42,0,0
14:45,0,0
14:49,0,0
14:52,0,0
14:56,0,0
14:59,0,0
15:03,0,0
15:06,0,0
15:10,0,0
15:13,0,0
15:17,0,0
15:20,0,0
15:24,0,0
15:27,0,0
15:31,0,0
15:34,0,0
15:38,0,0
15:41,0,0
15:45,0,0
15:47,0,0
15:51,0,0
15:54,0,0
15:58,0,0
16:01,0,0
16:05,0,0
16:08,0,0
16:13,0,0
16:15,0,0
16:19,0,0
16:23,0,0
16:27,0,0
16:30,0,0
16:34,0,0
16:37,0,0
16:41,0,0
16:44,0,0
16:48,0,0
16:51,0,0
16:55,0,0
16:58,0,0
17:02,0,0
17:05,0,0
17:09,0,0
17:12,0,0
17:16,0,0
17:19,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:44,0,0
18:48,0,0
18:51,0,0
18:55,0,0
18:59,0,0
19:01,0,0
19:05,0,0
19:09,0,0
19:12,0,0
19:16,0,0
19:19,0,0
19:23,0,0
19:26,0,0
19:31,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:00,0,0
20:03,0,0
20:08,0,0
20:10,0,0
20:13,0,0
20:18,0,0
20:22,0,0
20:24,0,0
20:29,0,0
20:31,0,0
20:34,0,0
20:39,0,0
20:42,0,0
20:46,0,0
20:49,0,0
20:53,0,0
20:56,0,0
21:02,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:25,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:03,0,0
22:10,0,0
22:17,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:57,0,0
23:04,0,0
23:12,0,0
