时间,是否始发站,是否终到站
05:40,0,0
05:51,0,0
05:55,0,0
05:59,0,0
06:01,0,0
06:05,0,0
06:09,0,0
06:13,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:31,0,0
06:35,0,0
06:39,0,0
06:43,0,0
06:47,0,0
06:51,0,0
06:55,0,0
07:00,0,0
07:05,0,0
07:07,0,0
07:10,0,0
07:12,0,0
07:16,0,0
07:19,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:08,0,0
09:10,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:20,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:32,0,0
09:37,0,0
09:42,0,0
09:46,0,0
09:51,0,0
09:56,0,0
10:01,0,0
10:04,0,0
10:08,0,0
10:13,0,0
10:16,0,0
10:20,0,0
10:25,0,0
10:28,0,0
10:32,0,0
10:37,0,0
10:40,0,0
10:45,0,0
10:50,0,0
10:56,0,0
11:02,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:47,0,0
14:52,0,0
14:57,0,0
14:59,0,0
15:04,0,0
15:06,0,0
15:11,0,0
15:13,0,0
15:18,0,0
15:20,0,0
15:25,0,0
15:27,0,0
15:32,0,0
15:34,0,0
15:39,0,0
15:41,0,0
15:46,0,0
15:48,0,0
15:53,0,0
15:55,0,0
15:59,0,0
16:01,0,0
16:06,0,0
16:09,0,0
16:13,0,0
16:16,0,0
16:20,0,0
16:23,0,0
16:27,0,0
16:29,0,0
16:34,0,0
16:38,0,0
16:42,0,0
16:45,0,0
16:49,0,0
16:52,0,0
16:56,0,0
16:59,0,0
17:03,0,0
17:06,0,0
17:10,0,0
17:13,0,0
17:17,0,0
17:20,0,0
17:24,0,0
17:27,0,0
17:31,0,0
17:34,0,0
17:38,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:59,0,0
19:02,0,0
19:06,0,0
19:10,0,0
19:13,0,0
19:16,0,0
19:20,0,0
19:23,0,0
19:27,0,0
19:30,0,0
19:34,0,0
19:37,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:51,0,0
19:54,0,0
19:57,0,0
20:01,0,0
20:04,0,0
20:07,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:22,0,0
20:24,0,0
20:28,0,0
20:33,0,0
20:36,0,0
20:38,0,0
20:43,0,0
20:45,0,0
20:49,0,0
20:54,0,0
20:56,0,0
21:01,0,0
21:03,0,0
21:08,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:35,0,0
21:39,0,0
21:46,0,0
21:53,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:17,0,0
22:24,0,0
22:31,0,0
22:38,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
23:12,0,0
23:19,0,0
23:26,0,0
