时间,是否始发站,是否终到站
05:11,0,0
05:15,0,0
05:19,0,0
05:23,0,0
05:27,0,0
05:30,0,0
05:34,0,0
05:38,0,0
05:42,0,0
05:44,0,0
05:48,0,0
05:50,0,0
05:54,0,0
05:56,0,0
06:00,0,0
06:03,0,0
06:07,0,0
06:11,0,0
06:13,0,0
06:17,0,0
06:19,0,0
06:22,0,0
06:25,0,0
06:27,0,0
06:29,0,0
06:32,0,0
06:35,0,0
06:37,0,0
06:40,0,0
06:42,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:27,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:54,0,0
08:56,0,0
08:59,0,0
09:02,0,0
09:06,0,0
09:10,0,0
09:14,0,0
09:17,0,0
09:20,0,0
09:22,0,0
09:26,0,0
09:28,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:40,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:52,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:04,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:20,0,0
10:23,0,0
10:26,0,0
10:29,0,0
10:32,0,0
10:38,0,0
10:44,0,0
10:50,0,0
10:56,0,0
11:02,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:50,0,0
15:54,0,0
16:00,0,0
16:02,0,0
16:05,0,0
16:07,0,0
16:09,0,0
16:12,0,0
16:14,0,0
16:16,0,0
16:19,0,0
16:21,0,0
16:23,0,0
16:26,0,0
16:28,0,0
16:30,0,0
16:33,0,0
16:35,0,0
16:37,0,0
16:40,0,0
16:42,0,0
16:44,0,0
16:47,0,0
16:49,0,0
16:51,0,0
16:54,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:15,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:38,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:52,0,0
19:56,0,0
19:59,0,0
20:03,0,0
20:06,0,0
20:10,0,0
20:13,0,0
20:17,0,0
20:20,0,0
20:24,0,0
20:27,0,0
20:31,0,0
20:34,0,0
20:38,0,0
20:41,0,0
20:45,0,0
20:48,0,0
20:52,0,0
20:55,0,0
20:59,0,0
21:01,0,0
21:06,0,0
21:10,0,0
21:13,0,0
21:17,0,0
21:20,0,0
21:24,0,0
21:27,0,0
21:30,0,0
21:34,0,0
21:37,0,0
21:41,0,0
21:44,0,0
21:48,0,0
21:51,0,0
21:55,0,0
21:58,0,0
22:02,0,0
22:05,0,0
22:09,0,0
22:16,0,0
22:23,0,0
22:31,0,0
22:39,0,0
22:47,0,0
22:55,0,0
23:05,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
23:39,0,0
23:47,0,0
