时间,是否始发站,是否终到站
06:06,0,0
06:14,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:48,0,0
06:52,0,0
06:54,0,0
06:58,0,0
07:00,0,0
07:04,0,0
07:07,0,0
07:11,0,0
07:15,0,0
07:17,0,0
07:21,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:39,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:53,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:27,0,0
08:28,0,0
08:32,0,0
08:35,0,0
08:36,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:51,0,0
08:53,0,0
08:56,0,0
08:59,0,0
09:00,0,0
09:03,0,0
09:06,0,0
09:09,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:56,0,0
09:58,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:10,0,0
10:14,0,0
10:18,0,0
10:24,0,0
10:30,0,0
10:36,0,0
10:42,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:35,0,0
15:41,0,0
15:47,0,0
15:53,0,0
15:59,0,0
16:05,0,0
16:11,0,0
16:17,0,0
16:23,0,0
16:29,0,0
16:35,0,0
16:41,0,0
16:47,0,0
16:53,0,0
16:59,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:03,0,0
18:05,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:23,0,0
19:25,0,0
19:27,0,0
19:30,0,0
19:32,0,0
19:34,0,0
19:37,0,0
19:39,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:49,0,0
19:52,0,0
19:54,0,0
19:56,0,0
19:59,0,0
20:01,0,0
20:03,0,0
20:06,0,0
20:08,0,0
20:10,0,0
20:13,0,0
20:15,0,0
20:17,0,0
20:21,0,0
20:24,0,0
20:27,0,0
20:31,0,0
20:37,0,0
20:42,0,0
20:48,0,0
20:52,0,0
20:58,0,0
21:03,0,0
21:09,0,0
21:13,0,0
21:19,0,0
21:24,0,0
21:30,0,0
21:37,0,0
21:44,0,0
21:51,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:37,0,0
23:45,0,0
23:53,0,0
00:01,0,0
00:09,0,0
