时间,是否始发站,是否终到站
06:02,0,0
06:10,0,0
06:15,0,0
06:18,0,0
06:22,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:41,0,0
06:44,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
07:00,0,0
07:03,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:29,0,0
07:32,0,0
07:34,0,0
07:39,0,0
07:43,0,0
07:44,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
08:02,0,0
08:05,0,0
08:07,0,0
08:11,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:22,0,0
08:24,0,0
08:27,0,0
08:30,0,0
08:32,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:54,0,0
08:56,0,0
08:57,0,0
09:01,0,0
09:04,0,0
09:06,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:47,0,0
09:49,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:58,0,0
10:01,0,0
10:05,0,0
10:09,0,0
10:13,0,0
10:19,0,0
10:25,0,0
10:31,0,0
10:37,0,0
10:43,0,0
10:49,0,0
10:55,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:48,0,0
15:54,0,0
16:00,0,0
16:06,0,0
16:12,0,0
16:18,0,0
16:24,0,0
16:30,0,0
16:36,0,0
16:42,0,0
16:48,0,0
16:55,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:42,0,0
18:44,0,0
18:48,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:23,0,0
19:25,0,0
19:27,0,0
19:29,0,0
19:32,0,0
19:34,0,0
19:37,0,0
19:39,0,0
19:42,0,0
19:44,0,0
19:47,0,0
19:49,0,0
19:51,0,0
19:54,0,0
19:56,0,0
19:58,0,0
20:01,0,0
20:03,0,0
20:05,0,0
20:08,0,0
20:10,0,0
20:12,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:26,0,0
20:32,0,0
20:37,0,0
20:43,0,0
20:47,0,0
20:53,0,0
20:58,0,0
21:04,0,0
21:08,0,0
21:14,0,0
21:19,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:32,0,0
23:40,0,0
23:48,0,0
23:56,0,0
00:04,0,0
