时间,是否始发站,是否终到站
05:08,0,0
05:12,0,0
05:16,0,0
05:20,0,0
05:24,0,0
05:27,0,0
05:31,0,0
05:35,0,0
05:39,0,0
05:41,0,0
05:45,0,0
05:47,0,0
05:51,0,0
05:53,0,0
05:57,0,0
06:00,0,0
06:04,0,0
06:08,0,0
06:10,0,0
06:14,0,0
06:16,0,0
06:19,0,0
06:22,0,0
06:24,0,0
06:27,0,0
06:29,0,0
06:32,0,0
06:34,0,0
06:37,0,0
06:39,0,0
06:42,0,0
06:44,0,0
06:46,0,0
06:49,0,0
06:51,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:11,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:51,0,0
08:53,0,0
08:56,0,0
08:59,0,0
09:03,0,0
09:07,0,0
09:11,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:23,0,0
09:25,0,0
09:29,0,0
09:32,0,0
09:35,0,0
09:37,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:49,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:01,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:20,0,0
10:23,0,0
10:26,0,0
10:29,0,0
10:35,0,0
10:41,0,0
10:47,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:35,0,0
15:41,0,0
15:47,0,0
15:52,0,0
15:57,0,0
16:00,0,0
16:02,0,0
16:04,0,0
16:07,0,0
16:09,0,0
16:11,0,0
16:14,0,0
16:16,0,0
16:18,0,0
16:21,0,0
16:23,0,0
16:25,0,0
16:28,0,0
16:30,0,0
16:32,0,0
16:35,0,0
16:37,0,0
16:39,0,0
16:42,0,0
16:44,0,0
16:46,0,0
16:49,0,0
16:51,0,0
16:55,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:12,0,0
19:16,0,0
19:18,0,0
19:21,0,0
19:25,0,0
19:28,0,0
19:32,0,0
19:35,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:49,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:21,0,0
20:24,0,0
20:28,0,0
20:31,0,0
20:35,0,0
20:38,0,0
20:42,0,0
20:45,0,0
20:49,0,0
20:52,0,0
20:56,0,0
20:58,0,0
21:03,0,0
21:07,0,0
21:10,0,0
21:14,0,0
21:17,0,0
21:21,0,0
21:24,0,0
21:27,0,0
21:31,0,0
21:34,0,0
21:38,0,0
21:41,0,0
21:45,0,0
21:48,0,0
21:52,0,0
21:55,0,0
21:59,0,0
22:02,0,0
22:06,0,0
22:13,0,0
22:21,0,0
22:29,0,0
22:37,0,0
22:45,0,0
22:53,0,0
23:02,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
23:44,0,0
