时间,是否始发站,是否终到站
05:03,0,0
05:07,0,0
05:10,0,0
05:14,0,0
05:19,0,0
05:22,0,0
05:26,0,0
05:30,0,0
05:33,0,0
05:36,0,0
05:39,0,0
05:42,0,0
05:45,0,0
05:48,0,0
05:52,0,0
05:55,0,0
05:59,0,0
06:02,0,0
06:05,0,0
06:08,0,0
06:11,0,0
06:14,0,0
06:17,0,0
06:19,0,0
06:21,0,0
06:24,0,0
06:27,0,0
06:29,0,0
06:32,0,0
06:34,0,0
06:37,0,0
06:39,0,0
06:41,0,0
06:43,0,0
06:46,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:57,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:07,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:54,0,0
08:58,0,0
09:01,0,0
09:05,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:18,0,0
09:20,0,0
09:23,0,0
09:26,0,0
09:30,0,0
09:32,0,0
09:36,0,0
09:38,0,0
09:42,0,0
09:44,0,0
09:48,0,0
09:51,0,0
09:54,0,0
09:56,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:08,0,0
10:12,0,0
10:14,0,0
10:18,0,0
10:20,0,0
10:24,0,0
10:30,0,0
10:36,0,0
10:42,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:46,0,0
15:52,0,0
15:54,0,0
15:57,0,0
15:59,0,0
16:01,0,0
16:04,0,0
16:06,0,0
16:08,0,0
16:11,0,0
16:13,0,0
16:15,0,0
16:18,0,0
16:20,0,0
16:22,0,0
16:25,0,0
16:27,0,0
16:29,0,0
16:32,0,0
16:34,0,0
16:36,0,0
16:39,0,0
16:41,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:52,0,0
16:55,0,0
16:57,0,0
17:00,0,0
17:02,0,0
17:04,0,0
17:06,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:21,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:07,0,0
19:10,0,0
19:13,0,0
19:16,0,0
19:20,0,0
19:23,0,0
19:27,0,0
19:30,0,0
19:34,0,0
19:37,0,0
19:41,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:05,0,0
20:09,0,0
20:12,0,0
20:16,0,0
20:19,0,0
20:23,0,0
20:26,0,0
20:30,0,0
20:33,0,0
20:37,0,0
20:40,0,0
20:44,0,0
20:47,0,0
20:51,0,0
20:53,0,0
20:58,0,0
21:02,0,0
21:05,0,0
21:09,0,0
21:12,0,0
21:16,0,0
21:19,0,0
21:22,0,0
21:26,0,0
21:29,0,0
21:33,0,0
21:36,0,0
21:40,0,0
21:43,0,0
21:47,0,0
21:50,0,0
21:54,0,0
21:57,0,0
22:01,0,0
22:08,0,0
22:15,0,0
22:23,0,0
22:31,0,0
22:39,0,0
22:47,0,0
22:57,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:39,0,0
