时间,是否始发站,是否终到站
05:00,0,0
05:04,0,0
05:07,0,0
05:11,0,0
05:16,0,0
05:19,0,0
05:23,0,0
05:27,0,0
05:30,0,0
05:33,0,0
05:36,0,0
05:39,0,0
05:42,0,0
05:45,0,0
05:49,0,0
05:52,0,0
05:56,0,0
05:59,0,0
06:02,0,0
06:05,0,0
06:08,0,0
06:11,0,0
06:14,0,0
06:16,0,0
06:18,0,0
06:21,0,0
06:24,0,0
06:26,0,0
06:29,0,0
06:31,0,0
06:34,0,0
06:36,0,0
06:38,0,0
06:40,0,0
06:43,0,0
06:45,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:11,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:51,0,0
08:55,0,0
08:58,0,0
09:02,0,0
09:06,0,0
09:08,0,0
09:11,0,0
09:15,0,0
09:17,0,0
09:20,0,0
09:23,0,0
09:27,0,0
09:29,0,0
09:33,0,0
09:35,0,0
09:39,0,0
09:41,0,0
09:45,0,0
09:48,0,0
09:51,0,0
09:53,0,0
09:57,0,0
09:59,0,0
10:03,0,0
10:05,0,0
10:09,0,0
10:11,0,0
10:15,0,0
10:17,0,0
10:21,0,0
10:27,0,0
10:33,0,0
10:39,0,0
10:45,0,0
10:51,0,0
10:57,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:15,0,0
15:21,0,0
15:27,0,0
15:33,0,0
15:39,0,0
15:43,0,0
15:49,0,0
15:51,0,0
15:54,0,0
15:56,0,0
15:58,0,0
16:01,0,0
16:03,0,0
16:05,0,0
16:08,0,0
16:10,0,0
16:12,0,0
16:15,0,0
16:17,0,0
16:19,0,0
16:22,0,0
16:24,0,0
16:26,0,0
16:29,0,0
16:31,0,0
16:33,0,0
16:36,0,0
16:38,0,0
16:40,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:52,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:04,0,0
19:07,0,0
19:10,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:27,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:52,0,0
19:55,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:27,0,0
20:30,0,0
20:34,0,0
20:37,0,0
20:41,0,0
20:44,0,0
20:48,0,0
20:50,0,0
20:55,0,0
20:59,0,0
21:02,0,0
21:06,0,0
21:09,0,0
21:13,0,0
21:16,0,0
21:19,0,0
21:23,0,0
21:26,0,0
21:30,0,0
21:33,0,0
21:37,0,0
21:40,0,0
21:44,0,0
21:47,0,0
21:51,0,0
21:54,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:20,0,0
22:28,0,0
22:36,0,0
22:44,0,0
22:54,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:36,0,0
